systemName;region;route;banner;abbrev;city;root;altRouteNames
nlds;NLD;S41;;;;nld.s41;
nlds;NLD;S42;;;;nld.s42;
nlds;NLD;S43;;;;nld.s43;
nlds;NLD;S44;;;;nld.s44;
nlds;NLD;S45;;;;nld.s45;
nlds;NLD;S48;;;;nld.s48;
nlds;NLD;S49;;;;nld.s49;
nlds;NLD;S50;;;;nld.s50;
nlds;NLD;S53;;;;nld.s53;
nlds;NLD;S54;;;;nld.s54;
nlds;NLD;S55;;;;nld.s55;
nlds;NLD;S56;;;;nld.s56;
nlds;NLD;S59;;;;nld.s59;
nlds;NLD;S60;;;;nld.s60;
nlds;NLD;S61;;;;nld.s61;
nlds;NLD;S64;;;;nld.s64;
nlds;NLD;S65;;;;nld.s65;
nlds;NLD;S66;;;;nld.s66;
nlds;NLD;S67;;;;nld.s67;
nlds;NLD;S69;;;;nld.s69;
nlds;NLD;S70;;;;nld.s70;
nlds;NLD;S72;;;;nld.s72;
nlds;NLD;S73;;;;nld.s73;
nlds;NLD;S75;;;;nld.s75;
nlds;NLD;S78;;;;nld.s78;
nlds;NLD;S79;;;;nld.s79;
nlds;NLD;S81;;;;nld.s81;
nlds;NLD;S85;;;;nld.s85;
nlds;NLD;S86;;;;nld.s86;
nlds;NLD;RNT;;;;nld.rnt;
