systemName;route;banner;groupName;roots
nlds;S41;;;nld.s41
nlds;S42;;;nld.s42
nlds;S43;;;nld.s43
nlds;S44;;;nld.s44
nlds;S45;;;nld.s45
nlds;S48;;;nld.s48
nlds;S49;;;nld.s49
nlds;S50;;;nld.s50
nlds;S53;;;nld.s53
nlds;S54;;;nld.s54
nlds;S55;;;nld.s55
nlds;S56;;;nld.s56
nlds;S59;;;nld.s59
nlds;S60;;;nld.s60
nlds;S61;;;nld.s61
nlds;S64;;;nld.s64
nlds;S65;;;nld.s65
nlds;S66;;;nld.s66
nlds;S67;;;nld.s67
nlds;S69;;;nld.s69
nlds;S70;;;nld.s70
nlds;S72;;;nld.s72
nlds;S73;;;nld.s73
nlds;S75;;;nld.s75
nlds;S78;;;nld.s78
nlds;S79;;;nld.s79
nlds;S81;;;nld.s81
nlds;S85;;;nld.s85
nlds;S86;;;nld.s86
nlds;RNT;;;nld.rnt
