systemName;region;route;banner;abbrev;city;root;altRouteNames
polksl;POL;S1;;Kat;;pol.s01kat;
polksl;POL;S3;;Kat;;pol.s03kat;
polksl;POL;S4;;Kat;;pol.s04kat;
polksl;POL;S5;;Kat;;pol.s05kat;
polksl;POL;S6;;Kat;;pol.s06kat;
polksl;POL;S7;;Kat;;pol.s07kat;
polksl;POL;S8;;Kat;;pol.s08kat;
polksl;POL;S13;;Cze;;pol.s13cze;
polksl;POL;S18;;Gli;;pol.s18gli;
polksl;POL;S31;;Kat;;pol.s31kat;
polksl;POL;S41;;Kat;;pol.s41kat;
polksl;POL;S51;;Kat;;pol.s51kat;
polksl;POL;S61;;Kat;;pol.s61kat;
polksl;POL;S71;;Kat;;pol.s71kat;
polksl;CZE;S71;;Kat;;cze.s71kat;
polksl;POL;S72;;Ryb;;pol.s72ryb;
polksl;POL;S75;;Ryb;;pol.s75ryb;
polksl;POL;S76;;Ryb;;pol.s76ryb;
polksl;POL;S78;;Rac;;pol.s78rac;
