systemName;route;banner;groupName;roots
polksl;S1;;Katowice;pol.s01kat
polksl;S3;;Katowice;pol.s03kat
polksl;S4;;Katowice;pol.s04kat
polksl;S5;;Katowice;pol.s05kat
polksl;S6;;Katowice;pol.s06kat
polksl;S7;;Katowice;pol.s07kat
polksl;S8;;Katowice;pol.s08kat
polksl;S9;;Częstochowa;pol.s09cze
polksl;S13;;Częstochowa;pol.s13cze
polksl;S18;;Gliwice;pol.s18gli
polksl;S31;;Katowice;pol.s31kat
polksl;S41;;Katowice;pol.s41kat
polksl;S51;;Katowice;pol.s51kat
polksl;S61;;Katowice;pol.s61kat
polksl;S62;;Katowice;pol.s62kat
polksl;S71;;Katowice;pol.s71kat,cze.s71kat
polksl;S72;;Rybnik;pol.s72ryb
polksl;S75;;Rybnik;pol.s75ryb
polksl;S76;;Rybnik;pol.s76ryb
polksl;S78;;Racibórz;pol.s78rac
