systemName;route;banner;groupName;roots
polkt;1;;Kraków;pol.01kra
polkt;2;;Kraków;pol.02kra
polkt;3;;Kraków;pol.03kra
polkt;4;;Kraków;pol.04kra
polkt;5;;Kraków;pol.05kra
polkt;6;;Kraków;pol.06kra
polkt;8;;Kraków;pol.08kra
polkt;9;;Kraków;pol.09kra
polkt;10;;Kraków;pol.10kra
polkt;11;;Kraków;pol.11kra
polkt;13;;Kraków;pol.13kra
polkt;14;;Kraków;pol.14kra
polkt;16;;Kraków;pol.16kra
polkt;17;;Kraków;pol.17kra
polkt;18;;Kraków;pol.18kra
polkt;19;;Kraków;pol.19kra
polkt;20;;Kraków;pol.20kra
polkt;21;;Kraków;pol.21kra
polkt;22;;Kraków;pol.22kra
polkt;24;;Kraków;pol.24kra
polkt;44;;Kraków;pol.44kra
polkt;49;;Kraków;pol.49kra
polkt;50;;Kraków;pol.50kra
polkt;52;;Kraków;pol.52kra
