systemName;route;banner;groupName;roots
pollt;0;;Łódź;pol.00lod
pollt;1;;Łódź;pol.01lod
pollt;2;;Łódź;pol.02lod
pollt;3;;Łódź;pol.03lod
pollt;5;;Łódź;pol.05lod
pollt;6;;Łódź;pol.06lod
pollt;7;;Łódź;pol.07lod
pollt;8;;Łódź;pol.08lod
pollt;9;;Łódź;pol.09lod
pollt;10A;;Łódź;pol.10alod
pollt;10B;;Łódź;pol.10blod
pollt;11;;Łódź;pol.11lod
pollt;12;;Łódź;pol.12lod
pollt;14;;Łódź;pol.14lod
pollt;15;;Łódź;pol.15lod
pollt;16;;Łódź;pol.16lod
pollt;18;;Łódź;pol.18lod
pollt;19;;Łódź;pol.19lod
pollt;41;;Łódź;pol.41lod
pollt;45;;Łódź;pol.45lod
