systemName;region;route;banner;abbrev;city;root;altRouteNames
polpt;POL;1;;Poz;Poznań;pol.01poz;
polpt;POL;2;;Poz;Poznań;pol.02poz;
polpt;POL;3;;Poz;Poznań;pol.03poz;
polpt;POL;4;;Poz;Poznań;pol.04poz;
polpt;POL;5;;Poz;Poznań;pol.05poz;
polpt;POL;6;;Poz;Poznań;pol.06poz;
polpt;POL;7;;Poz;Poznań;pol.07poz;
polpt;POL;8;;Poz;Poznań;pol.08poz;
polpt;POL;9;;Poz;Poznań;pol.09poz;
polpt;POL;10;;Poz;Poznań;pol.10poz;
polpt;POL;11;;Poz;Poznań;pol.11poz;
polpt;POL;12;;Poz;Poznań;pol.12poz;
polpt;POL;13;;Poz;Poznań;pol.13poz;
polpt;POL;14;;Poz;Poznań;pol.14poz;
polpt;POL;15;;Poz;Poznań;pol.15poz;
polpt;POL;16;;Poz;Poznań;pol.16poz;
polpt;POL;17;;Poz;Poznań;pol.17poz;
polpt;POL;18;;Poz;Poznań;pol.18poz;
polpt;POL;19;;Poz;Poznań;pol.19poz;
