systemName;route;banner;groupName;roots
polslt;0;;Katowice;pol.00kat
polslt;1;;Zabrze;pol.01zab
polslt;2;;Zabrze;pol.02zab
polslt;3;;Zabrze;pol.03zab
polslt;4;;Zabrze;pol.04zab
polslt;5;;Zabrze;pol.05zab
polslt;6;;Katowice;pol.06kat
polslt;7;;Katowice;pol.07kat
polslt;9;;Bytom;pol.09byt
polslt;11;;Chorzów;pol.11cho
polslt;13;;Katowice;pol.13kat
polslt;14;;Katowice;pol.14kat
polslt;15;;Sosnowiec;pol.15sos
polslt;16;;Katowice;pol.16kat
polslt;17;;Chorzów;pol.17cho
polslt;19;;Bytom;pol.19byt
polslt;20;;Katowice;pol.20kat
polslt;21;;Sosnowiec;pol.21sos
polslt;22;;Dąbrowa Górnicza;pol.22dab
polslt;24;;Sosnowiec;pol.24sos
polslt;25;;Katowice;pol.25kat
polslt;26;;Sosnowiec;pol.26sos
polslt;27;;Sosnowiec;pol.27sos
polslt;28;;Dąbrowa Górnicza;pol.28dab
polslt;30;;Bytom;pol.30byt
polslt;38;;Bytom;pol.38byt
polslt;43;;Katowice;pol.43kat
polslt;46;;Katowice;pol.46kat
polslt;49;;Bytom;pol.49byt
