systemName;region;route;banner;abbrev;city;root;altRouteNames
polszt;POL;1;;Szc;Szczecin;pol.01szc;
polszt;POL;2;;Szc;Szczecin;pol.02szc;
polszt;POL;3;;Szc;Szczecin;pol.03szc;
polszt;POL;4;;Szc;Szczecin;pol.04szc;
polszt;POL;5;;Szc;Szczecin;pol.05szc;
polszt;POL;6;;Szc;Szczecin;pol.06szc;
polszt;POL;7;;Szc;Szczecin;pol.07szc;
polszt;POL;8;;Szc;Szczecin;pol.08szc;
polszt;POL;9;;Szc;Szczecin;pol.09szc;
polszt;POL;10;;Szc;Szczecin;pol.10szc;
polszt;POL;11;;Szc;Szczecin;pol.11szc;
polszt;POL;12;;Szc;Szczecin;pol.12szc;
