systemName;route;banner;groupName;roots
polwt;1;;Warszawa;pol.01war
polwt;2;;Warszawa;pol.02war
polwt;3;;Warszawa;pol.03war
polwt;4;;Warszawa;pol.04war
polwt;6;;Warszawa;pol.06war
polwt;7;;Warszawa;pol.07war
polwt;9;;Warszawa;pol.09war
polwt;11;;Warszawa;pol.11war
polwt;13;;Warszawa;pol.13war
polwt;15;;Warszawa;pol.15war
polwt;17;;Warszawa;pol.17war
polwt;20;;Warszawa;pol.20war
polwt;22;;Warszawa;pol.22war
polwt;23;;Warszawa;pol.23war
polwt;24;;Warszawa;pol.24war
polwt;25;;Warszawa;pol.25war
polwt;26;;Warszawa;pol.26war
polwt;27;;Warszawa;pol.27war
polwt;28;;Warszawa;pol.28war
polwt;31;;Warszawa;pol.31war
polwt;33;;Warszawa;pol.33war
polwt;35;;Warszawa;pol.35war
polwt;75;;Warszawa;pol.75war
polwt;78;;Warszawa;pol.78war
