systemName;region;route;banner;abbrev;city;root;altRouteNames
svkedk;SVK;1;;Kos;;svk.01kos;
svkedk;SVK;2;;Kos;;svk.02kos;
svkedk;SVK;3;;Kos;;svk.03kos;
svkedk;SVK;4;;Kos;;svk.04kos;
svkedk;SVK;5;;Kos;;svk.05kos;
svkedk;SVK;6;;Kos;;svk.06kos;
svkedk;SVK;7;;Kos;;svk.07kos;
svkedk;SVK;9;;Kos;;svk.09kos;
svkedk;SVK;R1;;Kos;;svk.r1kos;
svkedk;SVK;R2;;Kos;;svk.r2kos;
svkedk;SVK;R3;;Kos;;svk.r3kos;
svkedk;SVK;R4;;Kos;;svk.r4kos;
svkedk;SVK;R5;;Kos;;svk.r5kos;
svkedk;SVK;R6;;Kos;;svk.r6kos;
svkedk;SVK;R7;;Kos;;svk.r7kos;
svkedk;SVK;R8;;Kos;;svk.r8kos;
