systemName;route;banner;groupName;roots
twntpm;BroLn;;Taipei Metro Wenhu (Brown) line;twn.tpbrown
twntpm;RedLn;;Taipei Metro Tamsui–Xinyi (Red) line;twn.tpred
twntpm;RedLn;;Taipei Metro Xinbeitou branch line;twn.tpredb
twntpm;GreLn;;Taipei Metro Songshan–Xindian (Green) line;twn.tpgreen
twntpm;GreLn;;Taipei Metro Xiaobitan branch line;twn.tpgreenb
twntpm;OraLn;;Taipei Metro Zhonghe–Xinlu (Orange) line, Huilong branch;twn.tporangehui
twntpm;OraLn;;Taipei Metro Zhonghe–Xinlu (Orange) line, Luzhou branch;twn.tporangelu
twntpm;BlueLn;;Taipei Metro Bannan (Blue) line;twn.tpblue
twntpm;YelLn;;New Taipei Metro Circular (Yellow) line;twn.ntyellow
twntpm;Dansui;;New Taipei Metro Dansui LRT Mountain Line;twn.ntdsmtn
twntpm;Dansui;;New Taipei Metro Dansui LRT Seaside Line;twn.ntdssea
twntpm;Ankeng;;New Taipei Metro Ankeng LRT;twn.ntak
twntpm;TYAir;;Taoyuan Metro Taoyuan Airport MRT;twn.tyairport
