systemName;region;route;banner;abbrev;city;root;altRouteNames
twntpm;TWN;TPBrown;;;Taipei Metro Wenhu (Brown) line;twn.tpbrown;
twntpm;TWN;TPRed;;;Taipei Metro Tamsui–Xinyi (Red) line;twn.tpred;
twntpm;TWN;TPRedXin;;;Taipei Metro Xinbeitou branch line;twn.tpredb;
twntpm;TWN;TPGreen;;;Taipei Metro Songshan–Xindian (Green) line;twn.tpgreen;
twntpm;TWN;TPGreenXiao;;;Taipei Metro Xiaobitan branch line;twn.tpgreenb;
twntpm;TWN;TPOrange;;Hui;Taipei Metro Zhonghe–Xinlu (Orange) line, Huilong branch;twn.tporangehui;
twntpm;TWN;TPOrange;;Lu;Taipei Metro Zhonghe–Xinlu (Orange) line, Luzhou branch;twn.tporangelu;
twntpm;TWN;TPBlue;;;Taipei Metro Bannan (Blue) line;twn.tpblue;
twntpm;TWN;NTYellow;;;New Taipei Metro Circular (Yellow) line;twn.ntyellow;
twntpm;TWN;NTDansui;;Mtn;New Taipei Metro Dansui LRT Mountain Line;twn.ntdsmtn;
twntpm;TWN;NTDansui;;Sea;New Taipei Metro Dansui LRT Seaside Line;twn.ntdssea;
twntpm;TWN;NTAnkeng;;;New Taipei Metro Ankeng LRT;twn.ntak;
twntpm;TWN;TYAir;;;Taoyuan Metro Taoyuan Airport MRT;twn.tyairport;
