systemName;region;route;banner;abbrev;city;root;altRouteNames
ukrdnt;UKR;1;;Dni;Dnipro;ukr.01dni;
ukrdnt;UKR;5;;Dni;Dnipro;ukr.05dni;
ukrdnt;UKR;6;;Dni;Dnipro;ukr.06dni;
ukrdnt;UKR;7;;Dni;Dnipro;ukr.07dni;
ukrdnt;UKR;9;;Dni;Dnipro;ukr.09dni;
ukrdnt;UKR;11;;Dni;Dnipro;ukr.11dni;
ukrdnt;UKR;12;;Dni;Dnipro;ukr.12dni;
ukrdnt;UKR;14;;Dni;Dnipro;ukr.14dni;
ukrdnt;UKR;15;;Dni;Dnipro;ukr.15dni;
ukrdnt;UKR;16;;Dni;Dnipro;ukr.16dni;
ukrdnt;UKR;17;;Dni;Dnipro;ukr.17dni;
ukrdnt;UKR;18;;Dni;Dnipro;ukr.18dni;
ukrdnt;UKR;19;;Dni;Dnipro;ukr.19dni;
