systemName;route;banner;groupName;roots
ukrkrt;1;;Kryvyi Rih;ukr.01kry
ukrkrt;2;;Kryvyi Rih;ukr.02kry
ukrkrt;3;;Kryvyi Rih;ukr.03kry
ukrkrt;4;;Kryvyi Rih;ukr.04kry
ukrkrt;5;;Kryvyi Rih;ukr.05kry
ukrkrt;6;;Kryvyi Rih;ukr.06kry
ukrkrt;7;;Kryvyi Rih;ukr.07kry
ukrkrt;8;;Kryvyi Rih;ukr.08kry
ukrkrt;9;;Kryvyi Rih;ukr.09kry
ukrkrt;10;;Kryvyi Rih;ukr.10kry
ukrkrt;11;;Kryvyi Rih;ukr.11kry
ukrkrt;12;;Kryvyi Rih;ukr.12kry
ukrkrt;13;;Kryvyi Rih;ukr.13kry
ukrkrt;14;;Kryvyi Rih;ukr.14kry
ukrkrt;22;;Kryvyi Rih;ukr.22kry
ukrkrt;25;;Kryvyi Rih;ukr.25kry
ukrkrt;27;;Kryvyi Rih;ukr.27kry
