systemName;region;route;banner;abbrev;city;root;altRouteNames
ukrkt;UKR;8;;Kyi;Kyiv;ukr.08kyi;
ukrkt;UKR;11;;Kyi;Kyiv;ukr.11kyi;
ukrkt;UKR;12;;Kyi;Kyiv;ukr.12kyi;
ukrkt;UKR;14;;Kyi;Kyiv;ukr.14kyi;
ukrkt;UKR;15;;Kyi;Kyiv;ukr.15kyi;
ukrkt;UKR;16;;Kyi;Kyiv;ukr.16kyi;
ukrkt;UKR;17;;Kyi;Kyiv;ukr.17kyi;
ukrkt;UKR;18;;Kyi;Kyiv;ukr.18kyi;
ukrkt;UKR;19;;Kyi;Kyiv;ukr.19kyi;
ukrkt;UKR;22;;Kyi;Kyiv;ukr.22kyi;
ukrkt;UKR;23;;Kyi;Kyiv;ukr.23kyi;
ukrkt;UKR;27;;Kyi;Kyiv;ukr.27kyi;
ukrkt;UKR;28;;Kyi;Kyiv;ukr.28kyi;
ukrkt;UKR;29;;Kyi;Kyiv;ukr.29kyi;
ukrkt;UKR;32;;Kyi;Kyiv;ukr.32kyi;
ukrkt;UKR;33;;Kyi;Kyiv;ukr.33kyi;
ukrkt;UKR;35;;Kyi;Kyiv;ukr.35kyi;
