systemName;route;banner;groupName;roots
usaair;AirTrn;;JFK (Airport Terminals Loop);ny.airtrnatl
usaair;AirTrn;;JFK (Howard Beach);ny.airtrnhow
usaair;AirTrn;;JFK (Jamaica);ny.airtrnjam
usaair;AirTrn;;EWR Newark;nj.airtrn
usaair;SkyTrn;;ATL Sky Train;ga.skytrn
usaair;MiaM;;MIA Mover;fl.miam
usaair;PHX;;PHX SkyTrain;az.phx
usaair;AirTraSys;;ORD Airport Transit System;il.airtrasys
usaair;IAHSub;;IAH Subway;tx.iahsub
usaair;HubTram;;MSP Hub Tram;mn.hubtram
usaair;SkyCon;;TPA SkyConnect;fl.skycon
usaair;TerLink;;MCO Terminal Link;fl.terlink
usaair;OAKAir;;OAK Airport;ca.oakair
