systemName;route;banner;groupName;roots
usambtx;FaiLn;;Fairmount Line;ma.failn
usambtx;FallRivLn;;Fall River Line;ma.fallrivln
usambtx;FitLn;;Fitchburg Line;ma.fitln
usambtx;FoxLn;;Foxboro Line;ma.foxln
usambtx;FraLn;;Franklin Line;ma.fraln
usambtx;GreLn;;Greenbush Line;ma.greln
usambtx;HavLn;;Haverhill Line;ma.havln
usambtx;HavLnWil;;Haverhill Line (Wildcat Branch);ma.havlnwil
usambtx;KinLn;;Kingston Line;ma.kinln
usambtx;LowLn;;Lowell Line;ma.lowln
usambtx;NeeLn;;Needham Line;ma.neeln
usambtx;NewBedLn;;New Bedford Line;ma.newbedln
usambtx;NewLn;;Newburyport Line;ma.newln
usambtx;ProLn;;Providence Line;ri.proln,ma.proln
usambtx;RocLn;;Rockport Line;ma.rocln
usambtx;StoLn;;Stoughton Line;ma.stoln
usambtx;WorLn;;Worcester Line;ma.worln
usambtx;CapeFly;;CapeFLYER;ma.capefly
