systemName;region;route;banner;abbrev;city;root;altRouteNames
usanjtr;PA;AtlCityLn;;;Atlantic City Line;pa.atlcityln;
usanjtr;NJ;AtlCityLn;;;Atlantic City Line;nj.atlcityln;
usanjtr;NJ;BerCouLn;;;Bergen County Line;nj.bercouln;
usanjtr;NY;BerCouLn;;;Bergen County Line;ny.bercouln;
usanjtr;NJ;GlaBra;;;Gladstone Branch;nj.glabra;
usanjtr;NJ;MainLn;;;Main Line;nj.mainln;
usanjtr;NY;MainLn;;;Main Line;ny.mainln;
usanjtr;NJ;MeaRailLn;;;Meadowlands Rail Line;nj.mearailln;
usanjtr;NJ;MonBooLn;;;Montclair-Boonton Line;nj.monbooln;
usanjtr;NY;MonBooLn;;;Montclair-Boonton Line;ny.monbooln;
usanjtr;NJ;MorEssLn;;;Morris and Essex Line;nj.moressln;
usanjtr;NY;MorEssLn;;;Morris and Essex Line;ny.moressln;
usanjtr;NY;NECorLn;;;Northeast Corridor Line;ny.necorln;
usanjtr;NJ;NECorLn;;;Northeast Corridor Line;nj.necorln;
usanjtr;NJ;NECorLn;;Pri;Northeast Corridor Line (Princeton Branch);nj.necorlnpri;
usanjtr;NY;NJerCoaLn;;;North Jersey Coast Line;ny.njercoaln;
usanjtr;NJ;NJerCoaLn;;;North Jersey Coast Line;nj.njercoaln;
usanjtr;NJ;PasVlyLn;;;Pascack Valley Line;nj.pasvlyln;
usanjtr;NY;PasVlyLn;;;Pascack Valley Line;ny.pasvlyln;
usanjtr;NJ;RarVlyLn;;;Raritan Valley Line;nj.rarvlyln;
