systemName;route;banner;groupName;roots
ausvln;TraLn;;(Eastern Region) Taralgon Line;ausvic.traln
ausvln;BaiLn;;(Eastern Region) Bairnsdale Line;ausvic.bailn
ausvln;BenLn;;(Northern Region) Bendigo Line;ausvic.benln
ausvln;EucLn;;(Northern Region) Euchuca Line;ausvic.eucln
ausvln;SHLn;;(Northern Region) Swan Hill Line;ausvic.shln
ausvln;SeyLn;;(North East Region) Seymour Line;ausvic.seyln
ausvln;SheLn;;(North East Region) Shepperton Line;ausvic.sheln
ausvln;AlbLn;;(North East Region) Albury Line;ausvic.albln,ausnsw.albln
ausvln;GeeLn;;(South West Region) Geelong Line;ausvic.geeln
ausvln;WarLn;;(South West Region) Warrnambool Line;ausvic.warln
ausvln;AraLn;;(Western Region) Ararat Line;ausvic.araln
ausvln;MayLn;;(Western Region) Maryborough Line;ausvic.mayln
