systemName;region;route;banner;abbrev;city;root;altRouteNames
ausyt;AUS-VIC;1;;;;ausvic.001;
ausyt;AUS-VIC;3;;;;ausvic.003;
ausyt;AUS-VIC;3a;;;;ausvic.003a;
ausyt;AUS-VIC;5;;;;ausvic.005;
ausyt;AUS-VIC;6;;;;ausvic.006;
ausyt;AUS-VIC;11;;;;ausvic.011;
ausyt;AUS-VIC;12;;;;ausvic.012;
ausyt;AUS-VIC;16;;;;ausvic.016;
ausyt;AUS-VIC;19;;;;ausvic.019;
ausyt;AUS-VIC;30;;;;ausvic.030;
ausyt;AUS-VIC;35;;;;ausvic.035;
ausyt;AUS-VIC;48;;;;ausvic.048;
ausyt;AUS-VIC;57;;;;ausvic.057;
ausyt;AUS-VIC;58;;;;ausvic.058;
ausyt;AUS-VIC;59;;;;ausvic.059;
ausyt;AUS-VIC;64;;;;ausvic.064;
ausyt;AUS-VIC;67;;;;ausvic.067;
ausyt;AUS-VIC;70;;;;ausvic.070;
ausyt;AUS-VIC;72;;;;ausvic.072;
ausyt;AUS-VIC;75;;;;ausvic.075;
ausyt;AUS-VIC;78;;;;ausvic.078;
ausyt;AUS-VIC;82;;;;ausvic.082;
ausyt;AUS-VIC;86;;;;ausvic.086;
ausyt;AUS-VIC;96;;;;ausvic.096;
ausyt;AUS-VIC;109;;;;ausvic.109;
