systemName;route;banner;groupName;roots
ausyt;1;;;ausvic.001
ausyt;3;;;ausvic.003
ausyt;3a;;;ausvic.003a
ausyt;5;;;ausvic.005
ausyt;6;;;ausvic.006
ausyt;11;;;ausvic.011
ausyt;12;;;ausvic.012
ausyt;16;;;ausvic.016
ausyt;19;;;ausvic.019
ausyt;30;;;ausvic.030
ausyt;35;;;ausvic.035
ausyt;48;;;ausvic.048
ausyt;57;;;ausvic.057
ausyt;58;;;ausvic.058
ausyt;59;;;ausvic.059
ausyt;64;;;ausvic.064
ausyt;67;;;ausvic.067
ausyt;70;;;ausvic.070
ausyt;72;;;ausvic.072
ausyt;75;;;ausvic.075
ausyt;78;;;ausvic.078
ausyt;82;;;ausvic.082
ausyt;86;;;ausvic.086
ausyt;96;;;ausvic.096
ausyt;109;;;ausvic.109

