systemName;region;route;banner;abbrev;city;root;altRouteNames
autst;AUT;S1;;Tir;;aut.s01tir;
autst;ITA-TRE;S2;;Tir;;itatre.s02tir;
autst;AUT;S2;;Tir;;aut.s02tir;
autst;AUT;S3;;Tir;Brennerbahn;aut.s03tir;
autst;ITA-TRE;S3;;Tir;Brennerbahn;itatre.s03tir;
autst;AUT;S4;;Tir;;aut.s04tir;
autst;AUT;S5;;Tir;;aut.s05tir;
autst;DEU-BY;S6;;Tir;Mittenwaldbahn;deuby.s06tir;
autst;AUT;S6;;Tir;Mittenwaldbahn;aut.s06tir;
autst;DEU-BY;S7;;Pfr;Ausserfernbahn (Pfronten);deuby.s07pfr;
autst;AUT;S7;;Tir;Ausserfernbahn;aut.s07tir;
autst;DEU-BY;S7;;Tir;Ausserfernbahn (Garmisch Partenkirchen);deuby.s07tir;
autst;AUT;S8;;Tir;;aut.s08tir;
autst;AUT;SZB1;;Tir;Zillertalbahn;aut.szb1tir;
