systemName;region;route;banner;abbrev;city;root;altRouteNames
esprc;ESP-CT;R1;;;;espct.r1;
esprc;ESP-CT;R2;;;;espct.r2;
esprc;ESP-CT;R2N;;;;espct.r2n;
esprc;ESP-CT;R2S;;;;espct.r2s;
esprc;ESP-CT;R3;;;;espct.r3;
esprc;ESP-CT;R4;;;;espct.r4;
esprc;ESP-CT;R5;;;;espct.r5;
esprc;ESP-CT;R50;;;;espct.r50;
esprc;ESP-CT;R6;;;;espct.r6;
esprc;ESP-CT;R60;;;;espct.r60;
esprc;ESP-CT;R7;;;;espct.r7;
esprc;ESP-CT;R8;;;;espct.r8;
esprc;ESP-CT;R11;;;;espct.r11;
esprc;ESP-CT;R12;;;;espct.r12;
esprc;ESP-CT;R13;;;;espct.r13;
esprc;ESP-CT;R14;;;;espct.r14;
esprc;ESP-CT;R15;;;;espct.r15;
esprc;ESP-CT;R16;;;;espct.r16;
esprc;ESP-CT;R17;;;;espct.r17;
esprc;ESP-CT;RG1;;;;espct.rg1;
esprc;ESP-CT;RL1;;;;espct.rl1;
esprc;ESP-CT;RL2;;;;espct.rl2;
esprc;ESP-CT;RT1;;;;espct.rt1;
esprc;ESP-CT;RT2;;;;espct.rt2;
