systemName;route;banner;groupName;roots
esprc;R1;;;espct.r1
esprc;R2;;;espct.r2
esprc;R2N;;;espct.r2n
esprc;R2S;;;espct.r2s
esprc;R3;;;espct.r3
esprc;R4;;;espct.r4
esprc;R5;;;espct.r5
esprc;R50;;;espct.r50
esprc;R6;;;espct.r6
esprc;R60;;;espct.r60
esprc;R7;;;espct.r7
esprc;R8;;;espct.r8
esprc;R11;;;espct.r11
esprc;R12;;;espct.r12
esprc;R13;;;espct.r13
esprc;R14;;;espct.r14
esprc;R15;;;espct.r15
esprc;R16;;;espct.r16
esprc;R17;;;espct.r17
esprc;RG1;;;espct.rg1
esprc;RL1;;;espct.rl1
esprc;RL2;;;espct.rl2
esprc;RT1;;;espct.rt1
esprc;RT2;;;espct.rt2
