systemName;route;banner;groupName;roots
frahdfter;K90;;;frahdf.k90
frahdfter;K92;;;frahdf.k92
frahdfter;K94;;;frahdf.k94
frahdfter;K10;;;frahdf.k10,fraidf.k10
frahdfter;K11;;;frahdf.k11,fraidf.k11
frahdfter;K12;;;frahdf.k12,fraidf.k12
frahdfter;K13;;;frahdf.k13,fraidf.k13
frahdfter;K13;;Mauberge branch;frahdf.k13mau
frahdfter;K14;;;frahdf.k14,fraidf.k14
frahdfter;K15;;;fraidf.k15,frahdf.k15
frahdfter;K16;;;frahdf.k16,fraidf.k16
frahdfter;K20;;;frahdf.k20
frahdfter;K21;;;frahdf.k21
frahdfter;K40;;;frahdf.k40
frahdfter;K43;;;frahdf.k43
frahdfter;K44;;;frahdf.k44
frahdfter;K45;;;frahdf.k45,franor.k45
frahdfter;K50;;;frahdf.k50
frahdfter;K51;;;frahdf.k51
frahdfter;K52;;;frahdf.k52
frahdfter;K60;;;frahdf.k60
frahdfter;K61;;;frahdf.k61,frages.k61
frahdfter;K70;;;frahdf.k70
frahdfter;K71;;;frahdf.k71
frahdfter;K80;;;bel.k80,frahdf.k80
frahdfter;K81;;;bel.k81,frahdf.k81
frahdfter;K82;;;frahdf.k82,bel.k82
frahdfter;C10;;;frahdf.c10,fraidf.c10
frahdfter;C11;;;frahdf.c11,fraidf.c11
frahdfter;C13;;;frahdf.c13,fraidf.c13
frahdfter;C14;;;frahdf.c14,fraidf.c14
frahdfter;C17;;;frahdf.c17,fraidf.c17
frahdfter;C40;;;frahdf.c40
frahdfter;C41;;;frahdf.c41
frahdfter;C50;;;frahdf.c50
frahdfter;C51;;;frahdf.c51
frahdfter;C60;;;frahdf.c60
frahdfter;C70;;;frahdf.c70
frahdfter;P10;;;frahdf.p10
frahdfter;P14;;;frahdf.p14
frahdfter;P15;;;frahdf.p15
frahdfter;P20;;;frahdf.p20
frahdfter;P21;;;frahdf.p21
frahdfter;P22;;;frahdf.p22
frahdfter;P23;;;frahdf.p23
frahdfter;P24;;;frahdf.p24
frahdfter;P30;;;franor.p30,frahdf.p30
frahdfter;P32;;;frahdf.p32
frahdfter;P40;;;frahdf.p40
frahdfter;P41;;;frahdf.p41
frahdfter;P42;;;frahdf.p42
frahdfter;P43;;;frahdf.p43
frahdfter;P44;;;frahdf.p44
frahdfter;P45;;;franor.p45,frahdf.p45
frahdfter;P51;;;frahdf.p51
frahdfter;P52;;;frahdf.p52
frahdfter;P53;;;frahdf.p53
frahdfter;P54;;;frahdf.p54
frahdfter;P60;;;frahdf.p60
frahdfter;P61;;;frahdf.p61
frahdfter;P62;;;frahdf.p62
frahdfter;P63;;;frahdf.p63
frahdfter;P64;;;frahdf.p64
frahdfter;P70;;;frahdf.p70
frahdfter;P71;;;frahdf.p71
frahdfter;P72;;;frahdf.p72
frahdfter;P73;;;frahdf.p73
frahdfter;P80;;;frahdf.p80
frahdfter;P81;;;frahdf.p81,bel.p81
