systemName;region;route;banner;abbrev;city;root;altRouteNames
gbraw;ENG;ForDeanLn;;;Forest of Dean Line;eng.fordeanln;
gbraw;WLS;SWML;;;South Wales Mainline;wls.swml;
gbraw;ENG;MarLn;;Liv;Marches Line (Liverpool);eng.marlnliv;
gbraw;WLS;MarLn;;Wre;Marches Line (Wrexham);wls.marlnwre;
gbraw;ENG;MarLn;;Shr;Marches Line (Shrewsbury);eng.marlnshr;
gbraw;WLS;MarLn;;New;Marches Line (Newport);wls.marlnnew;
gbraw;ENG;NWML;;;North Wales Mainline;eng.nwml;
gbraw;WLS;NWML;;;North Wales Mainline;wls.nwml;
gbraw;ENG;CheCreLn;;;Chester - Crewe Line;eng.checreln;
gbraw;ENG;CamLn;;;Cambrian Line;eng.camln;
gbraw;WLS;CamLn;;;Cambrian Line;wls.camln;
gbraw;WLS;CamCoaLn;;;Cambrian Coastal Line;wls.camcoaln;
gbraw;WLS;HeaWlsLn;;;Heart of Wales Line;wls.heawlsln;
gbraw;ENG;HeaWlsLn;;;Heart of Wales Line;eng.heawlsln;
gbraw;WLS;FisLn;;;Fishguard Line;wls.fisln;
gbraw;WLS;PemDockLn;;;Pembroke Dock Line;wls.pemdockln;
gbraw;WLS;MaeLn;;;Maestag Line;wls.maeln;
gbraw;WLS;VoGLn;;;Vale of Glamorgan Line;wls.vogln;
gbraw;WLS;MerLn;;;Merthyr Line;wls.merln;
gbraw;WLS;RhoLn;;;Rhondda Line;wls.rholn;
gbraw;WLS;RhyLn;;;Rhymney Line;wls.rhyln;
gbraw;WLS;CityLn;;;City Line;wls.cityln;
gbraw;WLS;EbbwValeLn;;;Ebbw Vale Line;wls.ebbwvaleln;
gbraw;WLS;ButBra;;;Butetown Branch;wls.butbra;
gbraw;ENG;BorLn;;;Borderlands Line;eng.borln;
gbraw;WLS;BorLn;;;Borderlands Line;wls.borln;
gbraw;WLS;ConVlyLn;;;Conwy Valley Line;wls.convlyln;
