systemName;region;route;banner;abbrev;city;root;altRouteNames
gbrem;ENG;MML;;She;Midland Mainline (Sheffield);eng.mmlshe;
gbrem;ENG;MML;;Not;Midland Mainline (Nottingham);eng.mmlnot;
gbrem;ENG;MML;;Cor;Midland Mainline (Corby);eng.mmlcor;
gbrem;ENG;LivNorLn;;;Liverpool - Norwich Line;eng.livnorln;
gbrem;ENG;NewGriLn;;;Newark - Grimsby Line;eng.newgriln;
gbrem;ENG;BarLn;;;Barton Line;eng.livnorln;
gbrem;ENG;DerVlyLn;;;Derwent Valley Line;eng.livnorln;
gbrem;ENG;NStaLn;;;North Staffs Line;eng.livnorln;
gbrem;ENG;PoaLn;;;Poacher Line;eng.livnorln;
gbrem;ENG;RedLn;;;Redwing Line;eng.livnorln;
gbrem;ENG;RobHoodLn;;;Robin Hood Line;eng.livnorln;
