systemName;route;banner;groupName;roots
gbrgw;GWML;;Great Western Mainline (via Plymouth);eng.gwmlply
gbrgw;GWML;;Great Western Mainline (via Bristol Temple Meads);eng.gwmlbri
gbrgw;GWML;;Great Western Mainline (via Bristol Parkway);eng.gwmlbst,wls.gwml
gbrgw;HEx;;Heathrow Express;eng.hex
gbrgw;NCotLn;;North Cotswolds Line;eng.ncotln
gbrgw;SCotLn;;South Cotswolds Line;eng.scotln
gbrgw;OxCanLn;;Oxford Canal Line;eng.oxcanln
gbrgw;BerHanLn;;Berks and Hants Line;eng.berhanln
gbrgw;WesML;;Wessex Mainline;eng.wesml
gbrgw;HoWLn;;Heart of Wessex Line;eng.howln
gbrgw;GreBra;;Greenford Branch;eng.grebra
gbrgw;WinBra;;Windsor Branch;eng.wimbra
gbrgw;MarBra;;Marlow Branch;eng.marbra
gbrgw;RegLn;;Regatta Line;eng.regln
gbrgw;NorDowLn;;North Downs Line;eng.nordowln
gbrgw;ReaBasLn;;Reading - Basingstoke Line;eng.reabasln
gbrgw;TraWilLn;;Trans-Wilts Line;eng.trawilln
gbrgw;SevBeaLn;;Severn Beach Line;eng.sevbealn
gbrgw;AvoLn;;Avocet Line;eng.avoln
gbrgw;TarLn;;Tarka Line;eng.tarln
gbrgw;DarLn;;Dartmoor Line;eng.darln
gbrgw;RivLn;;Riveria Line;eng.rivln
gbrgw;TamVlyLn;;Tamar Valley Line;eng.tamvlyln
gbrgw;LooVlyLn;;Looe Valley Line;eng.loovlyln
gbrgw;AtlCoaLn;;Atlantic Coast Line;eng.atlln
gbrgw;MarLn;;Maritime Line;eng.marln
gbrgw;SIBLn;;St Ives Bay Line;eng.sibln
