systemName;region;route;banner;abbrev;city;root;altRouteNames
gbrnt;ENG;AdlLn;;;Airedale Line;eng.adlln;
gbrnt;ENG;AirLn;;;Airport Line;eng.airln;
gbrnt;ENG;AthLn;;;Atherton Line;eng.athln;
gbrnt;ENG;BenLn;;;Bentham Line;eng.benln;
gbrnt;ENG;BlaLn;;;Blackpool Line;eng.blaln;
gbrnt;ENG;BraHudLn;;;Bradford - Huddersfield Line;eng.brahudln;
gbrnt;ENG;BuxLn;;;Buxton Line;eng.buxln;
gbrnt;ENG;CalLn;;;Calderdale Line;eng.calln;
gbrnt;ENG;CalVlyLn;;;Calder Valley Line;eng.calvlyln;
gbrnt;ENG;CasHudLn;;;Castleford - Huddersfield Line;eng.cashudln;
gbrnt;ENG;ChatMossLn;;;Chat Moss Line;eng.chatmossln;
gbrnt;ENG;CityLn;;War;City Line (Warrington);eng.citylnwar;
gbrnt;ENG;CityLn;;Wig;City Line (Wigan);eng.citylnwig;
gbrnt;ENG;CLCLn;;;Cheshire Lines Committee Line;eng.clcln;
gbrnt;ENG;CumCoaLn;;;Cumbria Coast Line;eng.cumcoaln;
gbrnt;ENG;DeaVlyLn;;;Dearne Valley Line;eng.deavlyln;
gbrnt;ENG;DurCoaLn;;;Durham Coast Line;eng.durcoaln;
gbrnt;ENG;ECML;;Nor;East Coast Mainline (Northumberland);eng.ecmlnor;
gbrnt;ENG;ELanLn;;;East Lancashire Line;eng.elanln;
gbrnt;ENG;EreVlyLn;;;Erewash Valley Line;eng.erevlyln;
gbrnt;ENG;EskVlyLn;;;Esk Valley Line;eng.eskvlyln;
gbrnt;ENG;GaiBra;;;Gainsborough Branch;eng.gaibra;
gbrnt;ENG;GloLn;;;Glossop Line;eng.gloln;
gbrnt;ENG;HalLn;;;Hallam Line;eng.halln;
gbrnt;ENG;HarLn;;;Harrogate Line;eng.harln;
gbrnt;ENG;HopeVlyLn;;;Hope Valley Line;eng.hopevlyln;
gbrnt;ENG;LakLn;;;Lakes Line;eng.lakln;
gbrnt;ENG;LeeSelLn;;;Leeds - Selby Line;eng.leeselln;
gbrnt;ENG;LeeYorkLn;;;Leeds - York Line;eng.leeyorkln;
gbrnt;ENG;MidCheLn;;;Mid-Cheshire Line;eng.midcheln;
gbrnt;ENG;MplLn;;;Marple Line;eng.mplln;
gbrnt;ENG;PenLn;;;Penistone Line;eng.penln;
gbrnt;ENG;PonLn;;Cas;Pontefract Line (Castleford);eng.ponlncas;
gbrnt;ENG;PonLn;;Wak;Pontefract Line (Wakefield);eng.ponlnwak;
gbrnt;ENG;RibEstLn;;;Ribble Estuary Line;eng.ribestln;
gbrnt;ENG;RibVlyLn;;;Ribble Valley Line;eng.ribvlyln;
gbrnt;ENG;RosLn;;;Roses Line;eng.rosln;
gbrnt;ENG;SaCLn;;;Settle & Carlisle Line;eng.sacln;
gbrnt;ENG;SheHullLn;;;Sheffield - Hull Line;eng.shehullln;
gbrnt;ENG;SHumLn;;;South Humberside Line;eng.shumln;
gbrnt;ENG;SouLn;;;Southport Line;eng.souln;
gbrnt;ENG;StoLn;;;Stoke Line;eng.stoln;
gbrnt;ENG;StoStaLn;;;Stockport - Stalybridge Line;eng.stostayln;
gbrnt;ENG;TeesVlyLn;;;Tees Valley Line;eng.teesvlyln;
gbrnt;ENG;TyneVlyLn;;;Tyne Valley Line;eng.tynevlyln;
gbrnt;ENG;WakLn;;Don;Wakfield Line (Doncaster);eng.waklndon;
gbrnt;ENG;WakLn;;She;Wakfield Line (Sheffield);eng.waklnshe;
gbrnt;ENG;WhaLn;;Bra;Wharfedale Line (Bradford);eng.whalnbra;
gbrnt;ENG;WhaLn;;Lee;Wharfedale Line (Leeds);eng.whalnlee;
gbrnt;ENG;YorCoaLn;;;Yorkshire Coast Line;eng.yorcoaln;
gbrnt;ENG;YorkHullLn;;;York - Hull Line;eng.yorkhullln;
gbrnt;ENG;YorkSelLn;;;York - Selby Line;eng.yorkselln;
