systemName;route;banner;groupName;roots
gbrnt;AdlLn;;Airedale Line;eng.adlln
gbrnt;AirLn;;Airport Line;eng.airln
gbrnt;AthLn;;Atherton Line;eng.athln
gbrnt;BenLn;;Bentham Line;eng.benln
gbrnt;BlaLn;;Blackpool Line;eng.blaln
gbrnt;BraHudLn;;Bradford - Huddersfield Line;eng.brahudln
gbrnt;BuxLn;;Buxton Line;eng.buxln
gbrnt;CalLn;;Calderdale Line;eng.calln
gbrnt;CalVlyLn;;Calder Valley Line;eng.calvlyln
gbrnt;CasHudLn;;Castleford - Huddersfield Line;eng.cashudln
gbrnt;ChatMossLn;;Chat Moss Line;eng.chatmossln
gbrnt;CityLn;;City Line (Warrington);eng.citylnwar
gbrnt;CityLn;;City Line (Wigan);eng.citylnwig
gbrnt;CLCLn;;Cheshire Lines Committee Line;eng.clcln
gbrnt;CumCoaLn;;Cumbria Coast Line;eng.cumcoaln
gbrnt;DeaVlyLn;;Dearne Valley Line;eng.deavlyln
gbrnt;DurCoaLn;;Durham Coast Line;eng.durcoaln
gbrnt;ECML;;East Coast Mainline (Northumberland);eng.ecmlnor
gbrnt;ELanLn;;East Lancashire Line;eng.elanln
gbrnt;EreVlyLn;;Erewash Valley Line;eng.erevlyln
gbrnt;EskVlyLn;;Esk Valley Line;eng.eskvlyln
gbrnt;GaiBra;;Gainsborough Branch;eng.gaibra
gbrnt;GloLn;;Glossop Line;eng.gloln
gbrnt;HalLn;;Hallam Line;eng.halln
gbrnt;HarLn;;Harrogate Line;eng.harln
gbrnt;HopeVlyLn;;Hope Valley Line;eng.hopevlyln
gbrnt;LakLn;;Lakes Line;eng.lakln
gbrnt;LeeSelLn;;Leeds - Selby Line;eng.leeselln
gbrnt;LeeYorkLn;;Leeds - York Line;eng.leeyorkln
gbrnt;MidCheLn;;Mid-Cheshire Line;eng.midcheln
gbrnt;MplLn;;Marple Line;eng.mplln
gbrnt;PenLn;;Penistone Line;eng.penln
gbrnt;PonLn;;Pontefract Line (Castleford);eng.ponlncas
gbrnt;PonLn;;Pontefract Line (Wakefield);eng.ponlnwak
gbrnt;RibEstLn;;Ribble Estuary Line;eng.ribestln
gbrnt;RibVlyLn;;Ribble Valley Line;eng.ribvlyln
gbrnt;RosLn;;Roses Line;eng.rosln
gbrnt;SaCLn;;Settle & Carlisle Line;eng.sacln
gbrnt;SheHullLn;;Sheffield - Hull Line;eng.shehullln
gbrnt;SHumLn;;South Humberside Line;eng.shumln
gbrnt;SouLn;;Southport Line;eng.souln
gbrnt;StoLn;;Stoke Line;eng.stoln
gbrnt;StoStaLn;;Stockport - Stalybridge Line;eng.stostayln
gbrnt;TeesVlyLn;;Tees Valley Line;eng.teesvlyln
gbrnt;TyneVlyLn;;Tyne Valley Line;eng.tynevlyln
gbrnt;WakLn;;Wakfield Line (Doncaster);eng.waklndon
gbrnt;WakLn;;Wakfield Line (Sheffield);eng.waklnshe
gbrnt;WhaLn;;Wharfedale Line (Bradford);eng.whalnbra
gbrnt;WhaLn;;Wharfedale Line (Leeds);eng.whalnlee
gbrnt;YorCoaLn;;Yorkshire Coast Line;eng.yorcoaln
gbrnt;YorkHullLn;;York - Hull Line;eng.yorkhullln
gbrnt;YorkSelLn;;York - Selby Line;eng.yorkselln

