systemName;route;banner;groupName;roots
gbrsn;GatEx;;Gatwick Express;eng.gatex
gbrsn;SML;;Sussex Mainline (Brighton);eng.smlbri
gbrsn;SML;;Sussex Mainline (Worthing);eng.smlwor
gbrsn;SML;;Sussex Mainline (Eastbourne);eng.smleas
gbrsn;ArunVlyLn;;Arun Valley Line;eng.arunvlyln
gbrsn;WCWLn;;West Coastway Line (Southampton);eng.wcwlnsou
gbrsn;WCWLn;;West Coastway Line (Portsmouth);eng.wcwlnpor
gbrsn;SeaBra;;Seaford Branch;eng.seabra
gbrsn;GriLn;;East Grinstead Line;eng.griln
gbrsn;UckLn;;Uckfield Line;eng.uckln
gbrsn;ReiLn;;Reigate Line;eng.reiln
gbrsn;TonBra;;Tonbridge Branch;eng.tonbra
gbrsn;DorLn;;Dorking Line;eng.dorln
gbrsn;WalLn;;Wallington Line;eng.walln
gbrsn;TCBra;;Tattenham Corner Branch;eng.tcbra
gbrsn;CatBra;;Caterham Branch;eng.catbra
gbrsn;BecJctBra;;Beckenham Junction Line;eng.becjctln
gbrsn;GipHillLn;;Gipsy Hill Line;eng.giphillln
gbrsn;SLonLn;;South London Line;eng.slonln
gbrsn;WLonLn;;West London Line;eng.wlonln
