systemName;region;route;banner;abbrev;city;root;altRouteNames
gbrsr;SCT;GML;;;Grampian Mainline;sct.gml;
gbrsr;SCT;HML;;;Highland Mainline;sct.hml;
gbrsr;SCT;AllLn;;;Alloa Line;sct.allln;
gbrsr;SCT;ArgLn;;;Argyle Line;sct.argln;
gbrsr;SCT;LarBra;;;Larkhall Branch;sct.larbra;
gbrsr;SCT;WhiBra;;;Whifflet Branch;sct.whibra;
gbrsr;SCT;AyrCoaLn;;Ayr;Ayrshire Coast Line (Ayr);sct.ayrcoalnayr;
gbrsr;SCT;AyrCoaLn;;Ard;Ayrshire Coast Line (Ardrossan);sct.ayrcoalnard;
gbrsr;SCT;AyrCoaLn;;Lar;Ayrshire Coast Line (Largs);sct.ayrcoalnlar;
gbrsr;SCT;BorLn;;;Borders Line;sct.borln;
gbrsr;SCT;CarLn;;;Carstairs Line;sct.casln;
gbrsr;SCT;CatCir;;Nei;Cathcart Circle (Neilston);sct.catcirnei;
gbrsr;SCT;CatCir;;New;Cathcart Circle (Newton);sct.catcirnew;
gbrsr;SCT;CatCir;;Cat;Cathcart Circle (Cathcart);sct.catcircat;
gbrsr;SCT;CroyLn;;;Croy Line;sct.croyln;
gbrsr;SCT;CumLn;;;Cumbernauld Line;sct.cumln;
gbrsr;SCT;DumLn;;;Dunblane Line;sct.dunln;
gbrsr;SCT;EKLn;;;East Kilbride Line;sct.ekln;
gbrsr;SCT;FifeLn;;;Fife Line;sct.fifeln;
gbrsr;SCT;FifeCir;;;Fife Circle;sct.fifecir;
gbrsr;SCT;InvLn;;Gou;Inverclyde Line (Gourock);sct.ivelngou;
gbrsr;SCT;InvLn;;Wen;Inverclyde Line (Wemyss Bay);sct.ivelnwem;
gbrsr;SCT;LanLn;;;Lanark Line;sct.lanln;
gbrsr;SCT;NBerLn;;;North Berwick Line;sct.nberln;
gbrsr;SCT;DunBra;;;Dunbar Branch;sct.dunbra;
gbrsr;SCT;NClyLn;;;North Clyde Line;sct.nclyln;
gbrsr;SCT;BalBra;;;Balloch Branch;sct.balbra;
gbrsr;SCT;SinBra;;;Singer Branch;sct.sinbra;
gbrsr;SCT;SprBra;;;Springburn Branch;sct.sprbra;
gbrsr;SCT;MarLn;;;Maryhill Line;sct.marln;
gbrsr;SCT;PaiCanLn;;;Paisley Canal Line;sct.paicanln;
gbrsr;SCT;ShoLn;;;Shotts Line;sct.sholn;
gbrsr;SCT;FarNLn;;;Far North Line;sct.farnln;
gbrsr;SCT;GSWLn;;Dum;Glasgow Southwestern Line (Dumfries);sct.gswlndum;
gbrsr;ENG;GSWLn;;;Glasgow Southwestern Line;eng.gswln;
gbrsr;SCT;GSWLn;;Ayr;Glasgow Southwestern Line (Dumfries);sct.gswlnayr;
gbrsr;SCT;InvAbeLn;;;Inverness - Aberdeen Line;sct.invabeln;
gbrsr;SCT;KyleLn;;;Kyle Line;sct.kyleln;
gbrsr;SCT;WHigLn;;Oba;West Highland Line (Oban);sct.whiglnoban;
gbrsr;SCT;WHigLn;;For;West Highland Line (Fort William);sct.whiglnfor;
