systemName;region;route;banner;abbrev;city;root;altRouteNames
gbrsw;ENG;SWML;;Bou;South West Mainline (Bournemouth);eng.swml;
gbrsw;ENG;SWML;;Por;South West Mainline (Portsmouth);eng.swml;
gbrsw;ENG;WoELn;;;West of England Line;eng.woeln;
gbrsw;ENG;PorDirLn;;;Portsmouth Direct Line;eng.pordirln;
gbrsw;ENG;AltLn;;;Alton Line;eng.altln;
gbrsw;ENG;ReaLn;;;Reading Line;eng.realn;
gbrsw;ENG;WinLn;;;Windsor Line;eng.winln;
gbrsw;ENG;MoleVlyLn;;;Mole Valley Line;eng.molevlyln;
gbrsw;ENG;HouLp;;;Hounslow Loop;eng.houlp;
gbrsw;ENG;KinLp;;;Kingston Loop;eng.kinlp;
gbrsw;ENG;CheLp;;;Chertsey Loop;eng.chelp;
gbrsw;ENG;HamCouBra;;;Hampton Court Branch;eng.hamcoubra;
gbrsw;ENG;CheBra;;;Chessington Branch;eng.chebra;
gbrsw;ENG;SheBra;;;Shepperton Branch;eng.shebra;
gbrsw;ENG;BooBra;;;Bookham Branch;eng.boobra;
gbrsw;ENG;NewGuiLn;;;New Guildford Line;eng.newguiln;
gbrsw;ENG;AscGuiLn;;;Ascot - Guildford Line;eng.ascguiln;
gbrsw;ENG;SolLn;;;Solent Line;eng.solln;
gbrsw;ENG;SouSub;;;Southampton Suburban 'b';eng.sousub;
gbrsw;ENG;LymBra;;;Lymington Branch;eng.lymbra;
gbrsw;ENG;IslLn;;;Island Line;eng.islln;
