systemName;route;banner;groupName;roots
gbrsw;SWML;;South West Mainline (Bournemouth);eng.swml
gbrsw;SWML;;South West Mainline (Portsmouth);eng.swml
gbrsw;WoELn;;West of England Line;eng.woeln
gbrsw;PorDirLn;;Portsmouth Direct Line;eng.pordirln
gbrsw;AltLn;;Alton Line;eng.altln
gbrsw;ReaLn;;Reading Line;eng.realn
gbrsw;WinLn;;Windsor Line;eng.winln
gbrsw;MoleVlyLn;;Mole Valley Line;eng.molevlyln
gbrsw;HouLp;;Hounslow Loop;eng.houlp
gbrsw;KinLp;;Kingston Loop;eng.kinlp
gbrsw;CheLp;;Chertsey Loop;eng.chelp
gbrsw;HamCouBra;;Hampton Court Branch;eng.hamcoubra
gbrsw;CheBra;;Chessington Branch;eng.chebra
gbrsw;SheBra;;Shepperton Branch;eng.shebra
gbrsw;BooBra;;Bookham Branch;eng.boobra
gbrsw;NewGuiLn;;New Guildford Line;eng.newguiln
gbrsw;AscGuiLn;;Ascot - Guildford Line;eng.ascguiln
gbrsw;SolLn;;Solent Line;eng.solln
gbrsw;SouSub;;Southampton Suburban 'b';eng.sousub
gbrsw;LymBra;;Lymington Branch;eng.lymbra
gbrsw;IslLn;;Island Line;eng.islln
