SystemName;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
gbn-nr;ENG;AbbLn;;;Abbey Line;eng.abbln;
gbn-nr;SCT;AllLn;;;Alloa Line;sct.allln;
gbn-nr;ENG;AltLn;;;Alton Line;eng.altln;
gbn-nr;SCT;ArgLn;;;Argyle Line;sct.argln;
gbn-nr;ENG;ArunVlyLn;;;Arun Valley Line;eng.arunvlyln;
gbn-nr;ENG;AtlCoaLn;;;Atlantic Coast Line;eng.atlln;
gbn-nr;ENG;AvoLn;;;Avocet Line;eng.avoln;
gbn-nr;SCT;AyrCoaLn;;Ard;Ayrshire Coast Line (Ardrossan);sct.ayrcoalnard;
gbn-nr;SCT;AyrCoaLn;;Ayr;Ayrshire Coast Line (Ayr);sct.ayrcoalnayr;
gbn-nr;SCT;AyrCoaLn;;Lar;Ayrshire Coast Line (Largs);sct.ayrcoalnlar;
gbn-nr;SCT;BalBra;;;Balloch Branch;sct.balbra;
gbn-nr;ENG;BarLn;;;Barton Line;eng.barln;
gbn-nr;ENG;BaBBra;;;Bat & Ball Branch;eng.babbra;
gbn-nr;ENG;BenLn;;;Bentham Line;eng.benln;
gbn-nr;ENG;BerHanLn;;;Berks and Hants Line;eng.berhanln;
gbn-nr;ENG;BexLn;;;Bexleyheath Line;eng.bexln;
gbn-nr;ENG;BisLn;;;Bishop Line;eng.bisln;
gbn-nr;ENG;BitLn;;;Bittern Line;eng.bitln;
gbn-nr;ENG;BlaVlyLn;;;Blackwater Valley Line;eng.blavlyln;
gbn-nr;ENG;BooBra;;;Bookham Branch;eng.boobra;
gbn-nr;ENG;BorLn;;;Borderlands Line;eng.borln;
gbn-nr;WLS;BorLn;;;Borderlands Line;wls.borln;
gbn-nr;SCT;BorLn;;;Borders Line;sct.borln;
gbn-nr;ENG;BreLn;;;Breckland Line;eng.braln;
gbn-nr;ENG;BroNBra;;;Bromley North Branch;eng.bronbra;
gbn-nr;WLS;ButBra;;;Butetown Branch;wls.butbra;
gbn-nr;ENG;BuxLn;;;Buxton Line;eng.buxln;
gbn-nr;WLS;CamCoaLn;;;Cambrian Coastal Line;wls.camcoaln;
gbn-nr;ENG;CamLn;;;Cambrian Line;eng.camln;
gbn-nr;WLS;CamLn;;;Cambrian Line;wls.camln;
gbn-nr;SCT;CarLn;;;Carstairs Line;sct.casln;
gbn-nr;ENG;CatLp;;;Catford Loop;eng.catlp;
gbn-nr;SCT;CatCir;;Cat;Cathcart Circle (Cathcart);sct.catcircat;
gbn-nr;SCT;CatCir;;Nei;Cathcart Circle (Neilston);sct.catcirnei;
gbn-nr;SCT;CatCir;;New;Cathcart Circle (Newton);sct.catcirnew;
gbn-nr;ENG;ChaML;;;Chatham Mainline;eng.chaml;
gbn-nr;ENG;CheLp;;;Chertsey Loop;eng.chelp;
gbn-nr;ENG;CLCLn;;;Cheshire Line Committee Line;eng.clcln;
gbn-nr;ENG;CheBra;;;Chessington Branch;eng.chebra;
gbn-nr;ENG;ChiML;;;Chiltern Mainline;eng.chiml;
gbn-nr;WLS;CityLn;;;City Line;wls.cityln;
gbn-nr;ENG;CliLn;;;Clitheroe Line;eng.cliln;
gbn-nr;WLS;ConVlyLn;;;Conwy Valley Line;wls.convlyln;
gbn-nr;ENG;CotLn;;;Cotswolds Line;eng.cotln;
gbn-nr;ENG;XCLn;;;Cross-City Line;eng.xcln;
gbn-nr;ENG;XCML;;;Cross-Country Mainline;eng.xcml;
gbn-nr;SCT;CroyLn;;;Croy Line;sct.croyln;
gbn-nr;SCT;CumLn;;;Cumbernauld Line;sct.cumln;
gbn-nr;ENG;CumCoaLn;;;Cumbrian Coast Line;eng.cumcoaln;
gbn-nr;WLS;CynLn;;;Cynon Line;wls.cynln;
gbn-nr;ENG;DarLn;;;Dartmoor Line;eng.darln;
gbn-nr;ENG;DerVlyLn;;;Derwent Valley Line;eng.dervlyln;
gbn-nr;SCT;DunLn;;;Dunblane Line;sct.dunln;
gbn-nr;ENG;DurCoaLn;;;Durham Coast Line;eng.durcoaln;
gbn-nr;ENG;ECML;;;East Coast Mainline;eng.ecml;
gbn-nr;SCT;ECML;;;East Coast Mainline;sct.ecml;
gbn-nr;ENG;ECWLn;;;East Coastway Line;eng.ecwln;
gbn-nr;SCT;EKLn;;;East Kilbride Line;sct.ekln;
gbn-nr;ENG;ESufLn;;;East Suffolk Line;eng.esufln;
gbn-nr;ENG;ESusLn;;;East Sussex Line;eng.esusln;
gbn-nr;WLS;EbbwValeLn;;;Ebbw Vale Line;wls.ebbwvaleln;
gbn-nr;ENG;EliLn;;Hea;Elizabeth Line (Heathrow);eng.elilnhea;
gbn-nr;ENG;EliLn;;Rea;Elizabeth Line (Reading);eng.elilnrea;
gbn-nr;ENG;EliLn;;She;Elizabeth Line (Shenfield);eng.elilnshe;
gbn-nr;ENG;EskVlyLn;;;Esk Valley Line;eng.eskvlyln;
gbn-nr;SCT;FarNLn;;;Far North Line;sct.farnln;
gbn-nr;ENG;FelBra;;;Felixstowe Branch;eng.felbra;
gbn-nr;ENG;FenLn;;;Fen Line;eng.fenln;
gbn-nr;SCT;FifeCir;;;Fife Circle;sct.fifecir;
gbn-nr;WLS;FisLn;;;Fishguard Line;wls.fisln;
gbn-nr;ENG;FliLn;;;Flitch Line;eng.fliln;
gbn-nr;ENG;ForDeanLn;;;Forest of Dean Line;eng.fordeanln;
