systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnlo;ENG;ELL;;Cla;East London Line (Clapham Junction);eng.ellcla;
gbnlo;ENG;ELL;;Cro;East London Line (West Croydon);eng.ellcro;
gbnlo;ENG;ELL;;Cry;East London Line (Crystal Palace);eng.ellcry;
gbnlo;ENG;ELL;;New;East London Line (New Cross);eng.ellnew;
gbnlo;ENG;GOBLin;;;Gospel Oak - Barking Line;eng.goblin;
gbnlo;ENG;LVL;;Enf;Lea Valley Line (Enfield Town);eng.ellcro;
gbnlo;ENG;LVL;;Che;Lea Valley Line (Cheshunt);eng.ellche;
gbnlo;ENG;LVL;;Chi;Lea Valley Line (Chingford);eng.ellchi;
gbnlo;ENG;NLL;;Ric;North London Line (Richmond);eng.nllric;
gbnlo;ENG;NLL;;Cla;North London Line (Clapham Junction);eng.nllcla;
gbnlo;ENG;RomUpmShu;;;Romford - Upminster Shuttle;eng.romupmshu;
gbnlo;ENG;WatDC;;;Watford DC lines;eng.watdc;
