systemName;route;banner;groupName;roots
gbnlo;ELL;;East London Line (Clapham Junction);eng.ellcla
gbnlo;ELL;;East London Line (West Croydon);eng.ellcro
gbnlo;ELL;;East London Line (Crystal Palace);eng.ellcry
gbnlo;ELL;;East London Line (New Cross);eng.ellnew
gbnlo;GOBLin;;;Gospel Oak - Barking Line;eng.goblin
gbnlo;LVL;;Lea Valley Line (Enfield Town);eng.ellcro
gbnlo;LVL;;Lea Valley Line (Cheshunt);eng.ellche
gbnlo;LVL;;Lea Valley Line (Chingford);eng.ellchi
gbnlo;NLL;;North London Line (Richmond);eng.nllric
gbnlo;NLL;;North London Line (Clapham Junction);eng.nllcla
gbnlo;RomUpmShu;;;Romford - Upminster Shuttle;eng.romupmshu
gbnlo;WatDC;;Watford DC lines;eng.watdc
