systemName;route;banner;groupName;roots
gbnnt;AdlLn;;Airedale Line;eng.adlln
gbnnt;AirLn;;Airport Line;eng.airln
gbnnt;AthLn;;Atherton Line;eng.athln
gbnnt;BenLn;;Bentham Line;eng.benln
gbnnt;BlaLn;;Blackpool Line;eng.blaln
gbnnt;BraHudLn;;Bradford - Huddersfield Line;eng.brahudln
gbnnt;BuxLn;;Buxton Line;eng.buxln
gbnnt;CalLn;;Calderdale Line;eng.calln
gbnnt;CalVlyLn;;Calder Valley Line;eng.calvlyln
gbnnt;CasHudLn;;Castleford - Huddersfield Line;eng.cashudln
gbnnt;ChatMossLn;;Chat Moss Line;eng.chatmossln
gbnnt;CityLn;;City Line (Warrington);eng.citylnwar
gbnnt;CityLn;;City Line (Wigan);eng.citylnwig
gbnnt;CLCLn;;Cheshire Lines Committee Line;eng.clcln
gbnnt;CumCoaLn;;Cumbria Coast Line;eng.cumcoaln
gbnnt;DeaVlyLn;;Dearne Valley Line;eng.deavlyln
gbnnt;DurCoaLn;;Durham Coast Line;eng.durcoaln
gbnnt;ECML;;East Coast Mainline (Northumberland);eng.ecmlnor
gbnnt;ELanLn;;East Lancashire Line;eng.elanln
gbnnt;EreVlyLn;;Erewash Valley Line;eng.erevlyln
gbnnt;EskVlyLn;;Esk Valley Line;eng.eskvlyln
gbnnt;GaiBra;;Gainsborough Branch;eng.gaibra
gbnnt;GloLn;;Glossop Line;eng.gloln
gbnnt;HalLn;;Hallam Line;eng.halln
gbnnt;HarLn;;Harrogate Line;eng.harln
gbnnt;HopeVlyLn;;Hope Valley Line;eng.hopevlyln
gbnnt;LakLn;;Lakes Line;eng.lakln
gbnnt;LeeSelLn;;Leeds - Selby Line;eng.leeselln
gbnnt;LeeYorkLn;;Leeds - York Line;eng.leeyorkln
gbnnt;MidCheLn;;Mid-Cheshire Line;eng.midcheln
gbnnt;MplLn;;Marple Line;eng.mplln
gbnnt;PenLn;;Penistone Line;eng.penln
gbnnt;PonLn;;Pontefract Line (Castleford);eng.ponlncas
gbnnt;PonLn;;Pontefract Line (Wakefield);eng.ponlnwak
gbnnt;RibEstLn;;Ribble Estuary Line;eng.ribestln
gbnnt;RibVlyLn;;Ribble Valley Line;eng.ribvlyln
gbnnt;RosLn;;Roses Line;eng.rosln
gbnnt;SaCLn;;Settle & Carlisle Line;eng.sacln
gbnnt;SheHullLn;;Sheffield - Hull Line;eng.shehullln
gbnnt;SHumLn;;South Humberside Line;eng.shumln
gbnnt;SouLn;;Southport Line;eng.souln
gbnnt;StoLn;;Stoke Line;eng.stoln
gbnnt;StoStaLn;;Stockport - Stalybridge Line;eng.stostayln
gbnnt;TeesVlyLn;;Tees Valley Line;eng.teesvlyln
gbnnt;TyneVlyLn;;Tyne Valley Line;eng.tynevlyln
gbnnt;WakLn;;Wakfield Line (Doncaster);eng.waklndon
gbnnt;WakLn;;Wakfield Line (Sheffield);eng.waklnshe
gbnnt;WhaLn;;Wharfedale Line (Bradford);eng.whalnbra
gbnnt;WhaLn;;Wharfedale Line (Leeds);eng.whalnlee
gbnnt;YorCoaLn;;Yorkshire Coast Line;eng.yorcoaln
gbnnt;YorkHullLn;;York - Hull Line;eng.yorkhullln
gbnnt;YorkSelLn;;York - Selby Line;eng.yorkselln

