systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnsn;ENG;GatEx;;;Gatwick Express;eng.gatex;
gbnsn;ENG;SML;;Bri;Sussex Mainline (Brighton);eng.smlbri;
gbnsn;ENG;SML;;Wor;Sussex Mainline (Worthing);eng.smlwor;
gbnsn;ENG;SML;;Eas;Sussex Mainline (Eastbourne);eng.smleas;
gbnsn;ENG;ArunVlyLn;;;Arun Valley Line;eng.arunvlyln;
gbnsn;ENG;WCWLn;;Sou;West Coastway Line (Southampton);eng.wcwlnsou;
gbnsn;ENG;WCWLn;;Por;West Coastway Line (Portsmouth);eng.wcwlnpor;
gbnsn;ENG;SeaBra;;;Seaford Branch;eng.seabra;
gbnsn;ENG;GriLn;;;East Grinstead Line;eng.griln;
gbnsn;ENG;UckLn;;;Uckfield Line;eng.uckln;
gbnsn;ENG;ReiLn;;;Reigate Line;eng.reiln;
gbnsn;ENG;TonBra;;;Tonbridge Branch;eng.tonbra;
gbnsn;ENG;DorLn;;;Dorking Line;eng.dorln;
gbnsn;ENG;WalLn;;;Wallington Line;eng.walln;
gbnsn;ENG;TCBra;;;Tattenham Corner Branch;eng.tcbra;
gbnsn;ENG;CatBra;;;Caterham Branch;eng.catbra;
gbnsn;ENG;BecJctBra;;;Beckenham Junction Line;eng.becjctln;
gbnsn;ENG;GipHillLn;;;Gipsy Hill Line;eng.giphillln;
gbnsn;ENG;SLonLn;;;South London Line;eng.slonln;
gbnsn;ENG;WLonLn;;;West London Line;eng.wlonln;
