systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnsr;SCT;GML;;;Grampian Mainline;sct.gml;
gbnsr;SCT;HML;;;Highland Mainline;sct.hml;
gbnsr;SCT;AllLn;;;Alloa Line;sct.allln;
gbnsr;SCT;ArgLn;;;Argyle Line;sct.argln;
gbnsr;SCT;LarBra;;;Larkhall Branch;sct.larbra;
gbnsr;SCT;WhiBra;;;Whifflet Branch;sct.whibra;
gbnsr;SCT;AyrCoaLn;;Ayr;Ayrshire Coast Line (Ayr);sct.ayrcoalnayr;
gbnsr;SCT;AyrCoaLn;;Ard;Ayrshire Coast Line (Ardrossan);sct.ayrcoalnard;
gbnsr;SCT;AyrCoaLn;;Lar;Ayrshire Coast Line (Largs);sct.ayrcoalnlar;
gbnsr;SCT;BorLn;;;Borders Line;sct.borln;
gbnsr;SCT;CarLn;;;Carstairs Line;sct.casln;
gbnsr;SCT;CatCir;;Nei;Cathcart Circle (Neilston);sct.catcirnei;
gbnsr;SCT;CatCir;;New;Cathcart Circle (Newton);sct.catcirnew;
gbnsr;SCT;CatCir;;Cat;Cathcart Circle (Cathcart);sct.catcircat;
gbnsr;SCT;CroyLn;;;Croy Line;sct.croyln;
gbnsr;SCT;CumLn;;;Cumbernauld Line;sct.cumln;
gbnsr;SCT;DumLn;;;Dunblane Line;sct.dunln;
gbnsr;SCT;EKLn;;;East Kilbride Line;sct.ekln;
gbnsr;SCT;FifeLn;;;Fife Line;sct.fifeln;
gbnsr;SCT;FifeCir;;;Fife Circle;sct.fifecir;
gbnsr;SCT;InvLn;;Gou;Inverclyde Line (Gourock);sct.ivelngou;
gbnsr;SCT;InvLn;;Wen;Inverclyde Line (Wemyss Bay);sct.ivelnwem;
gbnsr;SCT;LanLn;;;Lanark Line;sct.lanln;
gbnsr;SCT;NBerLn;;;North Berwick Line;sct.nberln;
gbnsr;SCT;DunBra;;;Dunbar Branch;sct.dunbra;
gbnsr;SCT;NClyLn;;;North Clyde Line;sct.nclyln;
gbnsr;SCT;BalBra;;;Balloch Branch;sct.balbra;
gbnsr;SCT;SinBra;;;Singer Branch;sct.sinbra;
gbnsr;SCT;SprBra;;;Springburn Branch;sct.sprbra;
gbnsr;SCT;MarLn;;;Maryhill Line;sct.marln;
gbnsr;SCT;PaiCanLn;;;Paisley Canal Line;sct.paicanln;
gbnsr;SCT;ShoLn;;;Shotts Line;sct.sholn;
gbnsr;SCT;FarNLn;;;Far North Line;sct.farnln;
gbnsr;SCT;GSWLn;;Dum;Glasgow Southwestern Line (Dumfries);sct.gswlndum;
gbnsr;ENG;GSWLn;;;Glasgow Southwestern Line;eng.gswln;
gbnsr;SCT;GSWLn;;Ayr;Glasgow Southwestern Line (Dumfries);sct.gswlnayr;
gbnsr;SCT;InvAbeLn;;;Inverness - Aberdeen Line;sct.invabeln;
gbnsr;SCT;KyleLn;;;Kyle Line;sct.kyleln;
gbnsr;SCT;WHigLn;;Oba;West Highland Line (Oban);sct.whiglnoban;
gbnsr;SCT;WHigLn;;For;West Highland Line (Fort William);sct.whiglnfor;
