systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnsw;ENG;SWML;;Bou;South West Mainline (Bournemouth);eng.swml;
gbnsw;ENG;SWML;;Por;South West Mainline (Portsmouth);eng.swml;
gbnsw;ENG;WoELn;;;West of England Line;eng.woeln;
gbnsw;ENG;PorDirLn;;;Portsmouth Direct Line;eng.pordirln;
gbnsw;ENG;AltLn;;;Alton Line;eng.altln;
gbnsw;ENG;ReaLn;;;Reading Line;eng.realn;
gbnsw;ENG;WinLn;;;Windsor Line;eng.winln;
gbnsw;ENG;MoleVlyLn;;;Mole Valley Line;eng.molevlyln;
gbnsw;ENG;HouLp;;;Hounslow Loop;eng.houlp;
gbnsw;ENG;KinLp;;;Kingston Loop;eng.kinlp;
gbnsw;ENG;CheLp;;;Chertsey Loop;eng.chelp;
gbnsw;ENG;HamCouBra;;;Hampton Court Branch;eng.hamcoubra;
gbnsw;ENG;CheBra;;;Chessington Branch;eng.chebra;
gbnsw;ENG;SheBra;;;Shepperton Branch;eng.shebra;
gbnsw;ENG;BooBra;;;Bookham Branch;eng.boobra;
gbnsw;ENG;NewGuiLn;;;New Guildford Line;eng.newguiln;
gbnsw;ENG;AscGuiLn;;;Ascot - Guildford Line;eng.ascguiln;
gbnsw;ENG;SolLn;;;Solent Line;eng.solln;
gbnsw;ENG;SouSub;;;Southampton Suburban 'b';eng.sousub;
gbnsw;ENG;LymBra;;;Lymington Branch;eng.lymbra;
gbnsw;ENG;IslLn;;;Island Line;eng.islln;
