systemName;route;banner;groupName;roots
irliei;CorkInt;;Cork Intercity;irl.corkint
irliei;TraBra;;Tralee Branch;irl.trabra
irliei;LimInt;;Limerick Intercity;irl.limint
irliei;NenLp;;Nenagh Loop;irl.nenlp
irliei;WesCor;;Western Corridor;irl.wescor
irliei;GalInt;;Galway Intercity;irl.galint
irliei;MayoInt;;Mayo Intercity;irl.mayoint
irliei;BalBra;;Ballina Branch;irl.balbra
irliei;SliInt;;Sligo Intercity;irl.sliint
irliei;MayoInt;;Wexford Intercity;irl.wexint
irliei;WatInt;;Waterford Intercity;irl.watint
irliei;CloBra;;Clonmel Branch;irl.clobra
