systemName;route;banner;groupName;roots
deu??s;S1;;;deubb.s01,deube.s01
deu??s;S2;;;deubb.s02,deube.s02,deubb.s02bla
deu??s;S3;;;deube.s03,deubb.s03
deu??s;S5;;;deube.s05,deubb.s05
deu??s;S7;;;deubb.s07,deube.s07
deu??s;S8;;;deubb.s08,deube.s08,deubb.s08zeu
deu??s;S9;;;deube.s09
deu??s;S25;;;deubb.s25,deube.s25,deubb.s25tet
deu??s;S26;;;deube.s26,deubb.s26
deu??s;S41;;;deube.s41
deu??s;S42;;;deube.s42
deu??s;S45;;;deube.s45
deu??s;S46;;;deube.s46,deubb.s46
deu??s;S47;;;deube.s47
deu??s;S75;;;deube.s75
deu??s;S85;;;deube.s85
