systemName;region;route;banner;abbrev;city;root;altRouteNames
deuhsb;DEU-NS;1;;Han;;deuns.01han;
deuhsb;DEU-NS;2;;Han;;deuns.02han;
deuhsb;DEU-NS;3;;Han;;deuns.03han;
deuhsb;DEU-NS;4;;Han;;deuns.04han;
deuhsb;DEU-NS;5;;Han;;deuns.05han;
deuhsb;DEU-NS;6;;Han;;deuns.06han;
deuhsb;DEU-NS;7;;Han;;deuns.07han;
deuhsb;DEU-NS;8;;Han;;deuns.08han;
deuhsb;DEU-NS;9;;Han;;deuns.09han;
deuhsb;DEU-NS;10;;Han;;deuns.10han;
deuhsb;DEU-NS;11;;Han;;deuns.11han;
deuhsb;DEU-NS;16;;Han;;deuns.16han;
deuhsb;DEU-NS;17;;Han;;deuns.17han;
deuhsb;DEU-NS;18;;Han;;deuns.18han;
