systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnlo;ENG;ELL;;;East London Line;eng.ell;
gbnlo;ENG;ELL;;Cla;East London Line (Clapham Junction branch);eng.ellcla;
gbnlo;ENG;ELL;;Cry;East London Line (Crystal Palace branch);eng.ellcry;
gbnlo;ENG;ELL;;New;East London Line (New Cross branch);eng.ellnew;
gbnlo;ENG;Goblin;;;Gospel Oak - Barking Line;eng.goblin;
gbnlo;ENG;LVL;;;Lea Valley Line;eng.lvl;
gbnlo;ENG;LVL;;Chi;Lea Valley Line (Chingford branch);eng.lvlchi;
gbnlo;ENG;LVL;;Enf;Lea Valley Line (Enfield branch);eng.lvlenf;
gbnlo;ENG;NLL;;;North London Line;eng.nll;
gbnlo;ENG;NLL;;Ric;North London Line (Richmond branch);eng.nllric;
gbnlo;ENG;RomUpmShu;;;Romford - Upminster Shuttle;eng.romupmshu;
gbnlo;ENG;WatDC;;;Watford DC Line;eng.watdc;
