systemName;region;route;banner;abbrev;city;root;altRouteNames
itamt;ITA-LOM;1;;Mil;;italom.01mil;
itamt;ITA-LOM;2;;Mil;;italom.02mil;
itamt;ITA-LOM;3;;Mil;;italom.03mil;
itamt;ITA-LOM;4;;Mil;;italom.04mil;
itamt;ITA-LOM;5;;Mil;;italom.05mil;
itamt;ITA-LOM;7;;Mil;;italom.07mil;
itamt;ITA-LOM;9;;Mil;;italom.09mil;
itamt;ITA-LOM;10;;Mil;;italom.10mil;
itamt;ITA-LOM;12;;Mil;;italom.12mil;
itamt;ITA-LOM;14;;Mil;;italom.14mil;
itamt;ITA-LOM;15;;Mil;;italom.15mil;
itamt;ITA-LOM;16;;Mil;;italom.16mil;
itamt;ITA-LOM;19;;Mil;;italom.19mil;
itamt;ITA-LOM;24;;Mil;;italom.24mil;
itamt;ITA-LOM;27;;Mil;;italom.27mil;
itamt;ITA-LOM;31;;Mil;;italom.31mil;
itamt;ITA-LOM;33;;Mil;;italom.33mil;
