systemName;route;banner;groupName;roots
polslt;0;;;pol.00kat
polslt;3;;;pol.03zab
polslt;5;;;pol.05zab
polslt;7;;;pol.07kat
polslt;9;;;pol.09byt
polslt;10;;;pol.10byt
polslt;13;;;pol.13kat
polslt;16;;;pol.16kat
polslt;17;;;pol.17byt
polslt;19;;;pol.19kat
polslt;21;;;pol.21sos
polslt;22;;;pol.22bed
polslt;23;;;pol.23kat
polslt;24;;;pol.24sos
polslt;27;;;pol.27sos
polslt;28;;;pol.28bed
polslt;30;;;pol.30byt
polslt;35;;;pol.35sos
polslt;36;;;pol.36kat
polslt;37;;;pol.37kat
polslt;43;;;pol.43kat
polslt;46;;;pol.46kat
polslt;49;;;pol.49byt
polslt;62;;;pol.62kat
