systemName;route;banner;groupName;roots
polwt;1;;;pol.01war
polwt;2;;;pol.02war
polwt;3;;;pol.03war
polwt;4;;;pol.04war
polwt;6;;;pol.06war
polwt;7;;;pol.07war
polwt;9;;;pol.09war
polwt;11;;;pol.11war
polwt;13;;;pol.13war
polwt;15;;;pol.15war
polwt;17;;;pol.17war
polwt;20;;;pol.20war
polwt;22;;;pol.22war
polwt;23;;;pol.23war
polwt;24;;;pol.24war
polwt;25;;;pol.25war
polwt;26;;;pol.26war
polwt;27;;;pol.27war
polwt;28;;;pol.28war
polwt;31;;;pol.31war
polwt;33;;;pol.33war
polwt;35;;;pol.35war
polwt;75;;;pol.75war
polwt;78;;;pol.78war
