systemName;route;banner;groupName;roots
usamncr;HarLn;;Harlem Line (inner zone);ny.harlninn
usamncr;HarLn;;Harlem Line (outer zone);ny.harlnout
usamncr;HudLn;;Hudson Line (inner zone);ny.hudlninn
usamncr;HudLn;;Hudson Line (outer zone);ny.hudlnout
usamncr;HudLn;;Hudson Line (Wassaic Line);ny.hudlnwas
usamncr;NewHavLn;;New Haven Line (inner zone);ny.newhavlninn,ct.newhavlninn
usamncr;NewHavLn;;New Haven Line (outer zone);ny.newhavlnout,ct.newhavlnout
usamncr;NewHavLn;;New Haven Line (New Canaan Branch);ct.newhavlncan
usamncr;NewHavLn;;New Haven Line (Danbury Branch);ct.newhavlndan
usamncr;NewHavLn;;New Haven Line (Waterbury Branch);ct.newhavlnwat
usamncr;YanStaSpr;;Yankee Stadium Spur;ny.yanstaspr
usamncr;PortJerLn;;Port Jervis Line;nj.portjerln,ny.portjerln
