systemName;route;banner;groupName;roots
usanjtr;AtlCityLn;;Atlantic City Line;pa.atlcityln,nj.atlcityln
usanjtr;BerCouLn;;Bergen County Line;nj.bercouln,ny.bercouln
usanjtr;GlaBra;;Gladstone Branch;nj.glabra
usanjtr;MainLn;;Main Line;nj.mainln,ny.mainln
usanjtr;MeaRailLn;;Meadowlands Rail Line;nj.mearailln
usanjtr;MonBooLn;;Montclair-Boontown Line;ny.monbooln,nj.monbooln
usanjtr;MonBooLn;;Montclair-Boontown Line (Hoboken - Hackettstown);nj.monboolnhac
usanjtr;MorLn;;Morristown Line;ny.morln,nj.morln
usanjtr;NECorLn;;Northeast Corridor Line;ny.necorln,nj.necorln
usanjtr;NECorLn;;Northeast Corridor Line (Princeton Branch);nj.necorlnpri
usanjtr;NJerCoaLn;;North Jersey Coast Line;ny.njercoaln,nj.njercoaln
usanjtr;NJerCoaLn;Bay;North Jersey Coast Line (Bay Head shuttle);nj.njercoalnbay
usanjtr;PasVlyLn;;Pascack Valley Line;nj.pasvlyln,ny.pasvlyln
usanjtr;RarVlyLn;;Raritan Valley Line;nj.rarvlyln
