systemName;region;route;banner;abbrev;city;root;altRouteNames
gbrnr;ENG;AbbLn;;;Abbey Line;eng.abbln;
gbrnr;ENG;ActLn;;;Acton Line;eng.actln;
gbrnr;ENG;AirLn;;;Airedale Line;eng.airln;
gbrnr;ENG;AptLn;;;Airport Line;eng.aptln;
gbrnr;SCT;AllLn;;;Alloa Line;sct.allln;
gbrnr;ENG;AltLn;;;Alton Line;eng.altln;
gbrnr;SCT;ArgLn;;;Argyle Line;sct.argln;
gbrnr;ENG;ArunVlyLn;;;Arun Valley Line;eng.arunvlyln;
gbrnr;ENG;AthLn;;;Atherton Line;eng.athln;
gbrnr;ENG;AtlCoaLn;;;Atlantic Coast Line;eng.atlcoaln;
gbrnr;ENG;AvoLn;;;Avocet Line;eng.avoln;
gbrnr;ENG;AylLn;;;Aylesbury Line;eng.aylln;
gbrnr;ENG;BarLn;;;Barton Line;eng.barln;
gbrnr;ENG;BenLn;;;Bentham Line;eng.benln;
gbrnr;ENG;BerHanLn;;;Berks & Hants Line;eng.berhanln;
gbrnr;ENG;BexLn;;;Bexleyheath Line;eng.bexln;
gbrnr;ENG;BisLn;;;Bishop Line;eng.bisln;
gbrnr;ENG;BitLn;;;Bittern Line;eng.bitln;
gbrnr;ENG;BlaVlyLn;;;Blackwater Valley Line;eng.blavlyln;
gbrnr;ENG;BorLn;;;Borderlands Line;eng.borln;
gbrnr;WLS;BorLn;;;Borderlands Line;wls.borln;
gbrnr;SCT;BorLn;;;Borders Line;sct.borln;
gbrnr;ENG;BreLn;;;Breckland Line;eng.breln;
gbrnr;ENG;BML;;;Brighton Mainline;eng.bml;
gbrnr;ENG;BroNBra;;;Bromley North Branch;eng.bronbra
gbrnr;ENG;BuxLn;;;Buxton Line;eng.buxln;
gbrnr;SCT;CaiLn;;;Caithness Line;sct.cailn;
gbrnr;ENG;CalLn;;;Caldervale Line;eng.calln;
gbrnr;ENG;CalVlyLn;Calder Valley Line;eng.calvlyln;
gbrnr;ENG;CamLn;;;Cambrian Line;eng.camln;
gbrnr;WLS;CamLn;;;Cambrian Line;wls.camln;
gbrnr;WLS;CamCoaLn;;;Cambrian Coast Line;wls.camcoaln;
gbrnr;ENG;CamIpsLn;;;Cambridge - Ipswich Line;eng.camipsln;
gbrnr;ENG;CbgLn;;;Cambridge Line;eng.cbgln;
gbrnr;WLS;CarBayLn;;;Cardiff Bay Line;wls.carbayln;
gbrnr;SCT;CarLn;;;Carlisle Line;sct.carln;
gbrnr;ENG;CarLn;;;Carlisle Line;eng.carln;
gbrnr;ENG;CasLn;;;Castleford Line;eng.casln;
gbrnr;ENG;CatBra;;;Caterham Branch;eng.catbra;
gbrnr;ENG;CatLp;;;Catford Loop;eng.catlp;
gbrnr;ENG;ChaLn;;;Chase Line;eng.chaln;
gbrnr;ENG;ChaML;;;Chatham Mainline;eng.chaml;
gbrnr;ENG;ChatMossLn;;;Chat Moss Line;eng.chatmossln;
gbrnr;ENG;CheLp;;;Chertsey Loop;eng.chelp;
gbrnr;ENG;CheBra;;;Chessington Branch;eng.chebra;
gbrnr;ENG;ChiML;;;Chiltern Mainline;eng.chiml;
gbrnr;ENG;ChiBra;;;Chingford Branch;eng.chibra;
gbrnr;WLS;CityLn;;;City Line (Cardiff);wls.cityln;
gbrnr;ENG;CityLn;;;City Line (Liverpool);eng.cityln;
gbrnr;ENG;CliLn;;;Clitheroe Line;eng.cliln;
gbrnr;ENG;CTBra;;;Colchester Town Branch;eng.ctbra;
gbrnr;WLS;ConVlyLn;;Conwy Valley Line;wls.convlyln;
gbrnr;ENG;CorBra;;;Corby Branch;eng.corbra;
gbrnr;ENG;CotLn;;;Cotswolds Line;eng.cotln;
gbrnr;ENG;XCityLn;;;Cross-City Line;eng.xcityln;
gbrnr;ENG;XCML;;;Cross Country Mainline;eng.xcml;
gbrnr;SCT;XLanLn;;;Cross-Lanarkshire Line;sct.xlanln;
gbrnr;ENG;CroVlyLn;;;Crouch Valley Line;eng.crovlyln;
gbrnr;ENG;CPLp;;;Crystal Palace Loop;eng.cplp;
gbrnr;ENG;CumCoaLn;;;Cumbrian Coast Line;eng.cumcoaln;
gbrnr;WLS;CynVlyLn;;;Cynon Valley Line;wls.cynvlyln;
gbrnr;ENG;DarVlyLn;;;Darenth Valley Line;eng.darvlyln;
gbrnr;ENG;DarLps;;;Dartford Loops;eng.darlps;
gbrnr;ENG;DeaVlyLn;;;Dearne Vally Line;eng.deavlyln;
gbrnr;ENG;DerVlyLn;;;Derwent Valley Line;eng.dervlyln;
gbrnr;ENG;DulLn;;;Dulwich Line;eng.dulln;
gbrnr;ENG;DurCoaLn;;;Durham Coast Line;eng.durcoaln;
gbrnr;ENG;ECML;;;East Coast Mainline;eng.ecml;
gbrnr;SCT;ECML;;;East Coast Mainline;sct.ecml;
gbrnr;ENG;ECWy;;;East Coastway;eng.ecwy;
gbrnr;ENG;EGriLn;;;East Grinstead Line;eng.egriln;
gbrnr;ENG;EHanLn;;;East Hants Line;eng.ehanln;
gbrnr;ENG;ELanLn;;;East Lancs Line;eng.elanln;
gbrnr;ENG;ELonLn;;;East London Line;eng.elonln;
gbrnr;ENG;EManLn;;;East Manchester Line;eng.emanln;
gbrnr;ENG;ESufLn;;;East Suffolk Line;eng.esufln;
gbrnr;ENG;ESusLn;;;East Sussex Line;eng.esusln;
gbrnr;ENG;EbbCho;;;Ebbsfleet Chord;eng.ebbcho;
gbrnr;WLS;EVLn;;;Ebbw Vale Line;wls.ebbwvaleln;
gbrnr;ENG;EliLn;;;Elizabeth Line;eng.eliln;
gbrnr;ENG;EnfLn;;;Enfield Line;eng.enfln;
gbrnr;ENG;EreVlyLn;;;Erewash Valley Line;eng.erevlyln;
gbrnr;ENG;EskVlyLn;;;Esk Valley Line;eng.eskvlyln;
gbrnr;SCT;FarNLn;;;Far North Line;sct.farnln;
gbrnr;ENG;FelBra;;;Felixstowe Branch;eng.felbra;
gbrnr;ENG;FenLn;;;Fen Line;eng.fenln;
gbrnr;SCT;FifeCir;;;Fife Circle;sct.fifecir;
gbrnr;WLS;FisLn;;;Fishguard Line;wls.fisln;
gnbnr;ENG;FliLn;;;Flitch Line;eng.fliln;
gbrnr;ENG;ForDeanLn;;;Forest of Dean Line;eng.fordeanln;
gbrnr;WLS;ForDeanLn;;;Forest of Dean Line;wls.fordeanln;
gbrnr;ENG;FurLn;;;Furness Line;eng.furln;
gbrnr;ENG;GaiLn;;;Gainsborough Line;eng.gailn;
gbrnr;ENG;GipHillLn;;;Gipsy Hill Line;eng.giphillln;
gbrnr;ENG;GloLn;;;Glossop Line;eng.gloln;
gbrnr;ENG;GooLn;;;Goole Line;eng.gooln;
gbrnr;ENG;GOBLn;;;Gospel Oak - Barking Line;eng.gobln;
gbrnr;ENG;GolVlyLn;;;Golden Valley Line;eng.golvlyln;
gbrnr;SCT;GML;;;Grampian Mainline;sct.gml;
gbrnr;ENG;GEML;;;Great Eastern Mainline;eng.geml;
gbrnr;ENG;GWML;;;Great Western Mainline;eng.gwml;
gbrnr;ENG;GreBra;;;Greenford Branch;eng.grebra;
gbrnr;ENG;GreLn;;;Greenwich Line;eng.greln;
gbrnr;ENG;GuiCho;;;Guiseley Chord;eng.guicho;
gbrnr;ENG;HalLn;;;Hallam Line;eng.halln;
gbrnr;ENG;HCBra;;;Hampton Court Branch;eng.hcbra;
gbrnr;ENG;HarLn;;;Harrogate Line;eng.harln;
gbrnr;ENG;HasLn;;;Hastings Line;eng.hasln;
gbrnr;ENG;HayLn;;;Hayes Line;eng.hayln;
gbrnr;WLS;HeaWalLn;;;Heart of Wales Line;wls.heawalln;
gbrnr;ENG;HeaWalLn;;;Heart of Wales Line;eng.heawalln;
gbrnr;ENG;HeaWesLn;;;Heart of Wessex Line;eng.heawesln;
gbrnr;ENG;HEx;;;Heathrow Express;eng.hex;
gbrnr;ENG;HerLn;;;Hereward Line;eng.herln;
gbrnr;SCT;HML;;;Highland Mainline;sct.hml;
gbrnr;ENG;HopeVlyLn;;;Hope Valley Line;eng.hopevlyln;
gbrnr;ENG;HouLp;;;Hounslow Loop;eng.houlp;
gbrnr;ENG;HoveCho;;;Hove Chord;eng.hovecho;
gbrnr;ENG;HudLn;;;Huddersfield Line;eng.hudln;
gbrnr;ENG;IckLn;;;Icknield Line;eng.ickln;
gbrnr;ENG;ImpsLn;;;Imps Line;eng.impsln;
gbrnr;ENG;IslLn;;;Island Line;eng.islln;
gbrnr;SCT;InvAbeLn;;;Inverness - Aberdeen Line;sct.invabeln;
gbrnr;ENG;JewLn;;;Jewellery Line;eng.jewln;
gbrnr;ENG;LitBra;;;Littlehampton Branch;eng.litbra;
gbrnr;ENG;LTSLn;;;London, Tilbury, Southend Line;eng.ltsln;
gbrnr;ENG;LooeVlyLn;;;Looe Valley Line;eng.looevlyln;
gbrnr;ENG;LymBra;;;Lymington Branch;eng.lymbra;
gbrnr;ENG;KentCoaLn;;;Kent Coast Line;eng.kentcoaln;
gbrnr;ENG;KinLp;;;Kingston Loop;eng.kinlp;
gbrnr;ENG;KirLn;;;Kirkby Line;eng.kirln;
gbrnr;SCT;KyleLn;;;Kyle Line;sct.kyleln;
gbrnr;SCT;LanLn;;;Lanark Line;sct.lanln;
gbrnr;ENG;LakLn;;;Lakes Line;eng.lakln;
gbrnr;ENG;LeaVlyLn;;;Lea Valley Line;eng.leavlyln;
gbrnr;WLS;MaeLn;;;Maesteg Line;wls.maeln;
gbrnr;ENG;MaiLn;;;Maidstone Line;eng.mailn;
gbrnr;ENG;MalLn;;;Malvern Line;eng.malln;
gbrnr;WLS;MarLn;;New;Marches Line (Newport);wls.marlnnew;
gbrnr;ENG;MarLn;;;Marches Line (Shrewsbury);eng.marln;
gbrnr;WLS;MarLn;;Wre;Marches Line (Wrexham);wls.marlnwre;
gbrnr;ENG;MarLn;;Che;;;Marches Line (Chester);eng;marlnche;
gbrnr;ENG;MrtLn;;;Maritime Line;eng.mrtln;
gbrnr;ENG;MarBra;;;Marlow Branch;eng.marbra;
gbrnr;ENG;MplLn;;;Marple Line;eng.mplln;
gbrnr;ENG;MshLn;;;Marshlink Line;eng.mshln;
gbrnr;ENG;MarValeLn;;;Marston Vale Line;eng.marvaleln;
gbrnr;ENG;MayLn;;;Mayflower Line;eng.mayln;
gbrnr;ENG;MedVlyLn;;;Medway Valley Line;eng.medvlyln;
gbrnr;WLS;MerLn;;;Merthyr Line;wls.merln;
gbrnr;ENG;MidKentCho;;;Mid-Kent Chord;eng.midkentcho
gbrnr;ENG;MML;;;Midland Mainline;eng.mml;
gbrnr;ENG;MidCheLn;;;Mid-Cheshire Line;eng.midcheln;
gbrnr;ENG;MoleVlyLn;;;Mole Valley Line;eng.molevlyln;
gbrnr;ENG;NXBra;;;New Cross Branch;eng.nxbra;
gbrnr;ENG;NewGuiLn;;;New Guildford Line;eng.newguiln;
gbrnr;ENG;NewRivLn;;;New River Line;eng.newrivln;
gbrnr;SCT;NBerLn;;;North Berwick Line;sct.nberln;
gbrnr;ENG;NCheLn;;;North Cheshire Line;eng.ncheln;
gbrnr;ENG;NDowLn;;;North Downs Line;eng.ndowln;
gbrnr;ENG;NHumLn;;;North Humberside Line;eng.nhumln;
gbrnr;ENG;NKentLn;;;North Kent Line;eng.nkentln;
gbrnr;ENG;NLonLn;;;North London Line;eng.nlonln;
gbrnr;ENG;NStaLn;;;North Staffordshire Line;eng.nstaln;
gbrnr;ENG;NWalML;;;North Wales Mainline;eng.nwalml;
gbrnr;WLS;NWalML;;;North Wales Mainline;wls.nwalml;
gbrnr;ENG;NWLn;;;North and West Line;eng.nwln;
gbrnr;ENG;NorLp;;;Northampton Loop;eng.norlp;
gbrnr;ENG;NorCityLn;;;Northern City Line;eng.norcityln;
gbrnr;ENG;NthLn;;;Northern Line (Liverpool);eng.nthln;
gbrnr;ENG;OxCanLn;;;Oxford Canal Line;eng.oxcanln;
gbrnr;WLS;PemDockLn;;;Pembroke Dock Line;wls.pemdockln;
gbrnr;ENG;PenLn;;;Penistone Line;eng.penln;
gbrnr;ENG;PilLn;;;Pilgrims Line;eng.pilln;
gbrnr;ENG;PoaLn;;;Poacher Line;eng.poaln;
gbrnr;ENG;PonLn;;;Pontefract Line;eng.ponln;
gbrnr;ENG;ReaBasLn;;;Reading - Basingstoke Line;eng.reabasln;
gbrnr;ENG;ReaTauLn;;;Reading - Taunton Line;eng.reatauln;
gbrnr;ENG;RedLn;;;Redwing Line;eng.redln;
gbrnr;ENG;RegLn;;;Regatta Line;eng.regln;
gbrnr;WLS;RhoVlyLn;;;Rhondda Valley Line;wls.rholn;
gbrnr;WLS;RhyLn;;;Rhymney Line;wls.rhyln;
gbrnr;ENG;RivLn;;;Riveria Line;eng.rivln;
gbrnr;ENG;RobHoodLn;;;Robin Hood Line;eng.robhoodln;
gbrnr;ENG;RomLn;;;Roman Line;eng.romln;
gbrnr;ENG;RoseHillLn;;;Rose Hill Line;eng.rosehillln;
gbrnr;ENG;RosLn;;;Roses Line;eng.rosln;
gbrnr;ENG;SelCho;;;Selby Chords;eng.selcho;
gbrnr;ENG;SetCarLn;;;Settle & Carlisle Line;eng.setcarln;
gbrnr;ENG;SevBeaLn;;;Severn Beach Line;eng.sevbealn;
gbrnr;ENG;SevLn;;;Severnside Line;eng.sevln;
gbrnr;ENG;ShaLn;;;Shakespeare Line;eng.shaln;
gbrnr;ENG;SfdBra;;;Shenfield Branch;eng.sfdbra;
gbrnr;ENG;SheBra;;;Shepperton Branch;eng.shebra;
gbrnr;ENG;SheCho;;;Sherburn Chord;eng.shecho;
gbrnr;ENG;SidLn;;;Sidcup Line;eng.sidln;
gbrnr;ENG;SouLp;;;Southbury Loop;eng.soulp;
gbrnr;ENG;SouLn;;;Southend Line;eng.souln;
gbrnr;ENG;SEML;;;South Eastern Mainline;eng.seml;
gbrnr;ENG;SFlyLn;;;South Flyde Line;eng.sflyln;
gbrnr;ENG;SHumLn;;;South Humberside Line;eng.shumln;
gbrnr;ENG;SLonLn;;;South London Line;eng.slonln;
gbrnr;ENG;SWalML;;;South Wales Mainline;eng.swalml;
gbrnr;WLS;SWalML;;;South Wales Mainline;wls.swalml;
gbrnr;ENG;SWML;;;South Western Mainline;eng.swml;
gbrnr;ENG;SptLn;;;Southport Line;eng.sptln;
gbrnr;ENG;StaBra;;;Stansted Branch;eng.stabra;
gbrnr;ENG;SIBLn;;;St Ives Bay Line;eng.sibln;
gbrnr;ENG;StkLn;;;Stoke Line;eng.stkln;
gbrnr;ENG;StoLn;;;Stour Line;eng.stoln;
gbrnr;ENG;StoBra;;;Stourbridge Branch;eng.stobra;
gbrnr;ENG;SunCoaLn;;;Sunshine Coast Line;eng.suncoaln;
gbrnr;ENG;SutLn;;;Sutton Line;eng.sutln;
gbrnr;ENG;SwaLn;;;Swale Line;eng.swaln;
gbrnr;ENG;TamVlyLn;;;Tamar Valley Line;eng.tamvlyln;
gbrnr;ENG;TarLn;;;Tarka Line;eng.tarln;
gbrnr;ENG;TCBra;;;Tattenham Corner Branch;eng.tcbra;
gbrnr;SCT;TayBriLn;;;Tay Bridge Line;sct.taybriln;
gbrnr;ENG;TeesVlyLn;;;Tees Valley Line;eng.teesvlyln;
gbrnr;ENG;ThaLnk;;;Thameslink;eng.thalnk;
gbrnr;ENG;ThrRivLn;;;Three Rivers Line;eng.thrrivln;
gbrnr;ENG;TilLp;;;Tilbury Loop;eng.tillp;
gbrnr;ENG;TPML;;;Trans-Pennine Mainline;eng.tpml;
gbrnr;ENG;TraWilLn;;;Trans-Wilts Line;eng.trawilln;
gbrnr;ENG;TyneVlyLn;;;Tyne Valley Line;eng.tynevlyln;
gbrnr;ENG;UckLn;;;Uckfield Line;eng.uckln;
gbrnr;ENG;UpmLn;;;Upminster Line;eng.upmln;
gbrnr;ENG;VarLn;;;Varsity Line;eng.varln;
gbrnr;WLS;VoGLn;;;Vale of Glamorgan Line;wls.vogln;
gbrnr;ENG;WalLn;;;Wallington Line;eng.walln;
gbrnr;ENG;WalBra;;;Walton-on-the-Naze Branch;eng.walbra;
gbrnr;ENG;WarLn;;;Warrington Line;eng.warln;
gbrnr;ENG;WakLn;;;Wakefield Line;eng.wakln;
gbrnr;ENG;WatLn;;;Watford Line;eng.watln;
gbrnr;ENG;WesML;;;Wessex Mainline;eng.wesml;
gbrnr;ENG;WAML;;;West Anglia Mainline;eng.waml;
gbrnr;ENG;WCML;;;West Coast Mainline;eng.wcml;
gbrnr;SCT;WCML;;;West Coast Mainline;sct.wcml;
gbrnr;ENG;WCWy;;;West Coastway;eng.wcwy;
gbrnr;ENG;WoELn;;;West of England Line;eng.woeln;
gbrnr;ENG;WLanLn;;;West Lancashire Line;eng.wlanln;
gbrnr;ENG;WLonLn;;;West London Line;eng.wlonln;
gbrnr;ENG;WRidLn;;;West Riding Line;eng.wridln;
gbrnr;ENG;WhaLn;;;Wharfedale Line;eng.whaln;
gbrnr;ENG;WheLn;;;Wherry Line;eng.wheln;
gbrnr;ENG;WimLp;;;Wimbledon Loop;eng.wimlp;
gbrnr;ENG;WinBra;;;Windsor Branch;eng.winbra;
gbrnr;ENG;WinLn;;;Winsdor Line;eng.winln;
gbrnr;ENG;YeoCho;;;Yeovil Chord;eng.yeocho;
gbrnr;ENG;YorCoaLn;;;Yorkshire Coast Line;eng.yorcoaln;
