systemName;route;banner;groupName;roots
irlie;AthWesLn;;Athlone - Westport Line;irl.athwesln
irlie;BalLimLn;;Ballybrophy - Limerick Line;irl.ballimln
irlie;CorkCobhLn;;Cork - Cobh Line;irl.corkcobhln
irlie;DubCorkLn;;Dublin - Cork Line;irl.dubcorkln
irlie;DubDunLn;;Dublin - Dundalk Line;irl.dubdunln
irlie;DubRosLn;;Dublin - Rosslare Line;irl.dubrosln
irlie;DubSliLn;;Dublin - Sligo Line;irl.dubsliln
irlie;KilWatLn;;Kildare - Waterford Line;irl.kilwatln
irlie;LimAthLn;;Limerick - Athenry Line;irl.limathln
irlie;LimWatLn;;Limerick - Waterford Line;irl.limwatln
irlie;MalTraLn;;Mallow - Tralee Line;irl.maltraln
irlie;PheParkLn;;Phoenix Park Line;irl.pheparkln
irlie;PorGalLn;;Portlaoise - Galway Line;irl.porgalln
irlie;BalBra;;Ballina Branch;irl.balbra
irlie;DocBra;;Docklands Branch;irl.docbra
irlie;HowBra;;Howth Branch;irl.howbra
irlie;MidBra;;Midelton Branch;irl.midbra

