System;CountryCode;Name;Color;Tier;Level
gbrbt;GBR;Blackpool Trams;grey;4;preview
gbrdlr;GBR;Docklands Light Railway;orange;3;preview
gbrltl;GBR;London Tramlink;grey;4;preview
gbrlu;GBR;London Underground;orange;3;preview
gbrman;GBR;Manchester Metrolink;grey;4;preview
gbrnir;GBR;Northern Ireland Railways;purple;2;preview
gbrss;GBR;Sheffield Supertram;grey;4;preview
gbrtwm;GBR;Tyne & Wear Metro;orange;3;preview
gbrwmm;GBR;West Midlands Metro;grey;4;preview
iomimr;IOM;Isle of Man Railways;orange;3;preview
irlent;IRL;Enterprise;purple;2;preview
irlie;IRL;Iarnród Éireann;purple;2;preview
irlluas;IRL;Luas;grey;4;preview
