System;CountryCode;Name;Color;Tier;Level
ared;ARE;Dubai urban rail transit;TMblue;3;preview
argtaold;ARG;Trenes Argentinos Operaciones (larga distancia);TMpurple;1;preview
argtaor;ARG;Trenes Argentinos Operaciones (regionales e internacional);TMgreen;2;preview
argbs;ARG;Línea Belgrano Sur;TMgreen;2;preview
argmit;ARG;Línea Mitre;TMgreen;2;preview
argroca;ARG;Línea Roca;TMgreen;2;preview
argsar;ARG;Línea Sarmiento;TMgreen;2;preview
argsm;ARG;Línea San Martín;TMgreen;2;preview
argtad;ARG;Tren al Desarrollo;TMgreen;2;preview
argurq;ARG;Línea Urquiza;TMgreen;2;preview
argsub;ARG;Subte (Buenos Aires);TMblue;3;preview
argmetmen;ARG;Metrotranvía (Mendoza);TMred;4;preview
argsubp;ARG;Subte (Premetro) (Buenos Aires);TMred;4;preview
argtc;ARG;Tren de la Costa;TMred;4;preview
asiaair;ASI;Asia Airport People Movers (airside);TMyellow;5;preview
ausnswtl;AUS;New South Wales TrainLink;TMpurple;1;preview
ausqrt;AUS;Queensland Rail Traveltrain;TMpurple;1;preview
austwa;AUS;Transwa;TMpurple;1;preview
ausvln;AUS;V/Line;TMpurple;1;preview
ausasr;AUS;Adelaide Suburban Railway;TMgreen;2;preview
ausmtm;AUS;Metro Trains Melbourne;TMgreen;2;preview
ausqrc;AUS;Queensland Rail Citytrain;TMgreen;2;preview
ausst;AUS;Sydney Trains;TMgreen;2;preview
austto;AUS;Transperth Train Operations;TMgreen;2;preview
aussm;AUS;Sydney Metro;TMblue;3;preview
ausat;AUS;Adelaide Trams;TMred;4;preview
ausbt;AUS;Bendigo Tramways;TMred;4;preview
auscm;AUS;Canberra Metro;TMred;4;preview
ausgclr;AUS;Gold Coast Light Rail;TMred;4;preview
ausnlr;AUS;Newcastle Light Rail;TMred;4;preview
ausslr;AUS;Sydney Light Rail;TMred;4;preview
ausyt;AUS;Yarra Trams (Melbourne);TMred;4;preview
autsk;AUT;S-Bahn Kärnten;TMgreen;2;preview
autso;AUT;S-Bahn Oberösterreich;TMgreen;2;preview
autss;AUT;S-Bahn Salzburg;TMgreen;2;preview
autsst;AUT;S-Bahn Steiermark;TMgreen;2;preview
autst;AUT;S-Bahn Tirol;TMgreen;2;preview
autsv;AUT;S-Bahn Vorarlberg;TMgreen;2;preview
autsw;AUT;S-Bahn Wien;TMgreen;2;preview
autus;AUT;U-Bahn Serfaus;TMblue;3;preview
autuw;AUT;U-Bahn Wien;TMblue;3;preview
autstgm;AUT;Straßenbahn Gmunden;TMred;4;preview
autstg;AUT;Straßenbahn Graz;TMred;4;preview
autsti;AUT;Straßenbahn Innsbruck;TMred;4;preview
autstl;AUT;Straßenbahn Linz;TMred;4;preview
autstw;AUT;Straßenbahn Wien;TMred;4;preview
belic;BEL;InterCity;TMpurple;1;preview
bell;BEL;Lokale treinen / trains locaux;TMgreen;2;preview
belrsa;BEL;S-trein Antwerpen;TMgreen;2;preview
belrsb;BEL;Réseau suburbain bruxellois / Gewestelijk ExpresNet;TMgreen;2;preview
belrsc;BEL;Réseau suburbain de Charleroi;TMgreen;2;preview
belrsg;BEL;S-trein Gent;TMgreen;2;preview
belrsl;BEL;Réseau suburbain liégeois;TMgreen;2;preview
belbm;BEL;Métro de Bruxelles / Brusselse metro;TMblue;3;preview
belcm;BEL;Métro de Charleroi;TMblue;3;preview
belat;BEL;Antwerpse tram;TMred;4;preview
belbt;BEL;Tramwway de Bruxelles / Brusselse tram;TMred;4;preview
belgt;BEL;Gentse tram;TMred;4;preview
belkt;BEL;Kusttram;TMred;4;preview
bgrsm;BGR;Sofiyski Metropoliten;TMblue;3;preview
bgrst;BGR;Sofiyski Trams;TMred;4;preview
bihst;BIH;Sarajevski Tramvaji;TMred;4;preview
bolmtc;BOL;Mi Tren Cochabamba;TMred;4;preview
braefc;BRA;Estrada de Ferro Carajás;TMpurple;1;preview
braefvm;BRA;Estrada de Ferro Vitória a Minas;TMpurple;1;preview
braet;BRA;Expresso Turístico da CPTM;TMgreen;2;preview
brasv;BRA;SuperVia;TMgreen;2;preview
bratmsp;BRA;Trem Metropolitano de São Paulo;TMgreen;2;preview
brametba;BRA;Metrô Bahia;TMblue;3;preview
brambh;BRA;Metrô BH;TMblue;3;preview
bramdf;BRA;Metrô DF;TMblue;3;preview
bramfor;BRA;Metrô Fortaleza;TMblue;3;preview
brametrec;BRA;Metrô do Recife;TMblue;3;preview
brametrio;BRA;MetrôRio;TMblue;3;preview
brametsp;BRA;Metrô de São Paulo;TMblue;3;preview
bratu;BRA;Trensurb;TMblue;3;preview
brabst;BRA;Bonde de Santa Teresa;TMred;4;preview
bracbtujp;BRA;Companhia Brasileira de Trens Urbanos (João Pessoa);TMred;4;preview
bracbtumac;BRA;Companhia Brasileira de Trens Urbanos (Maceió);TMred;4;preview
bracbtunat;BRA;Companhia Brasileira de Trens Urbanos (Natal);TMred;4;preview
braemtu;BRA;Empresa Metropolitana de Transportes Urbanos de São Paulo;TMred;4;preview
bramforvlt;BRA;Metrô Fortaleza (VLT);TMred;4;preview
bravltrec;BRA;Metrô do Recife (VLT);TMred;4;preview
brametter;BRA;Metrô de Teresina;TMred;4;preview
bravltrio;BRA;VLT Carioca;TMred;4;preview
braair;BRA;Brasil Landside Airport Rail Systems;TMyellow;5;preview
bratc;BRA;Trem do Corcovado;TMyellow;5;preview
