systemName;region;route;banner;abbrev;city;root;altRouteNames
usaamtk;DC;AE;;;Acela;dc.ae;
usaamtk;MD;AE;;;Acela;md.ae;
usaamtk;DE;AE;;;Acela;de.ae;
usaamtk;PA;AE;;;Acela;pa.ae;
usaamtk;NJ;AE;;;Acela;nj.ae;
usaamtk;NY;AE;;;Acela;ny.ae;
usaamtk;CT;AE;;;Acela;ct.ae;
usaamtk;RI;AE;;;Acela;ri.ae;
usaamtk;MA;AE;;;Acela;ma.ae;

Adirondack
usaamtk;NY;AD;;;Adirondack;ny.ad;
usaamtk;FL;AT;;;Autotrain;fl.at;
usaamtk;GA;AT;;;Autotrain;ga.at;
usaamtk;SC;AT;;;Autotrain;sc.at;
usaamtk;NC;AT;;;Autotrain;nc.at;
usaamtk;VA;AT;;;Autotrain;va.at;
usaamtk;IL;BW;;;Blue Water;il.bw;
usaamtk;IN;BW;;;Blue Water;in.bw;
usaamtk;MI;BW;;;Blue Water;mi.bw;
usaamtk;IL;CL;;;Capitol Limited;il.cl;
usaamtk;IN;CL;;;Capitol Limited;in.cl;
usaamtk;OH;CL;;;Capitol Limited;oh.cl;
usaamtk;PA;CL;;;Capitol Limited;pa.cl;
usaamtk;MD;CL;;Cum;Capitol Limited (Cumberland);md.clcum;
usaamtk;WV;CL;;;Capitol Limited;wv.cl;
usaamtk;MD;CL;;;Capitol Limited (Rockville);md.cl;
usaamtk;DC;CL;;;Capitol Limited;dc.cl;
usaamtk;IL;CA;;;Cardinal;il.ca;
usaamtk;IN;CA;;;Cardinal;in.ca;
usaamtk;OH;CA;;;Cardinal;oh.ca;
usaamtk;KY;CA;;;Cardinal;ky.ca;
usaamtk;WV;CA;;;Cardinal;wv.ca;
usaamtk;VA;CA;;;Cardinal;va.ca;
usaamtk;DC;CA;;;Cardinal;dc.ca;
usaamtk;MD;CA;;;Cardinal;md.ca;
usaamtk;DE;CA;;;Cardinal;de.ca;
usaamtk;PA;CA;;;Cardinal;pa.ca;
usaamtk;NJ;CA;;;Cardinal;nj.ca;
usaamtk;NY;CA;;;Cardinal;ny.ca;
usaamtk;NC;CN;;;Carolinian;nc.cn;
usaamtk;VA;CN;;;Carolinian;va.cn;
usaamtk;DC;CN;;;Carolinian;dc.cn;
usaamtk;MD;CN;;;Carolinian;md.cn;
usaamtk;DE;CN;;;Carolinian;de.cn;
usaamtk;PA;CN;;;Carolinian;pa.cn;
usaamtk;NJ;CN;;;Carolinian;nj.cn;
usaamtk;NY;CN;;;Carolinian;ny.cn;

Crescent
usaamtk;SC;CR;;;Crescent;sc.cr;
usaamtk;NC;CR;;;Crescent;nc.cr;
usaamtk;VA;CR;;;Crescent;va.cr;
usaamtk;DC;CR;;;Crescent;dc.cr;
usaamtk;MD;CR;;;Crescent;md.cr;
usaamtk;DE;CR;;;Crescent;de.cr;
usaamtk;PA;CR;;;Crescent;pa.cr;
usaamtk;NJ;CR;;;Crescent;nj.cr;
usaamtk;NY;CR;;;Crescent;ny.cr;
usaamtk;MA;DE;;;Downeaster;ma.de;
usaamtk;NH;DE;;;Downeaster;nh.de;
usaamtk;ME;DE;;;Downeaster;me.de;
usaamtk;NY;ES;;;Empire Service;ny.es;
usaamtk;NY;EA;;;Ethan Allen Express;ny.vt;
usaamtk;VT;EA;;;Ethan Allen Express;vt.ea;
usaamtk;CT;HL;;;Hartford Line;ct.hl;
usaamtk;MA;HL;;;Hartford Line;ma.hl;
usaamtk;PA;KS;;;Keystone Service;pa.ks;
usaamtk;NJ;KS;;;Keystone Service;nj.ks;
usaamtk;NY;KS;;;Keystone Service;ny.ks;
usaamtk;IL;LS;;;Lake Shore Limited;il.ls;
usaamtk;IN;LS;;;Lake Shore Limited;in.ls;
usaamtk;OH;LS;;;Lake Shore Limited;oh.ls;
usaamtk;PA;LS;;;Lake Shore Limited;pa.ls;
usaamtk;NY;LS;;;Lake Shore Limited;ny.ls;
usaamtk;MA;LS;;;Lake Shore Limited;ma.ls;
usaamtk;NY;LS;;NYC;Lake Shore Limited;ny.lsnyc;

Maple Leaf
usaamtk;NY;ML;;;Maple Leaf;ny.ml;
usaamtk;VA;NE;;Nor;Northeast Regional (Norfolk);va.nenor;
usaamtk;VA;NE;;New;Northeast Regional (Newport News);va.nenew;
usaamtk;VA;NE;;;Northeast Regional (Roanoke);va.ne;
